	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	17.0	-2.0	-2.0	-3.0	-2.0	-2.0	-2.0	-3.0
2	-35.0	1.0	-1.0	-4.0	-1.0	-1.0	-3.0	-7.0
3	22.0	-8.0	-4.0	-4.0	-1.0	-1.0	-1.0	-1.0
4	-13.0	-5.0	-3.0	-1.0	-3.0	-1.0	-2.0	-4.0
5	8.0	5.0	1.0	2.0	-3.0	-1.0	-4.0	-8.0
6	-30.0	-6.0	-1.0	-3.0	-8.0	0.0	0.0	-11.0
7	6.0	-1.0	-3.0	-1.0	7.0	-2.0	-4.0	-7.0
8	15.0	4.0	0.0	0.0	0.0	1.0	1.0	2.0
9	-3.0	-3.0	-3.0	-2.0	-4.0	-2.0	-4.0	-3.0
10	20.0	13.0	2.0	2.0	4.0	0.0	6.0	11.0
11	-3.0	6.0	6.0	1.0	-3.0	-2.0	-3.0	-2.0
12	16.0	-7.0	-5.0	-2.0	-1.0	-1.0	1.0	12.0
13	-16.0	-2.0	-1.0	-2.0	2.0	-1.0	-1.0	3.0
14	20.0	-13.0	-8.0	-3.0	-4.0	-3.0	-8.0	-9.0
15	12.0	9.0	-3.0	-2.0	-3.0	0.0	0.0	-8.0
16	-49.0	-11.0	-2.0	1.0	1.0	-2.0	-5.0	-4.0
17	13.0	0.0	3.0	-2.0	-3.0	2.0	3.0	8.0
18	-2.0	2.0	-1.0	-1.0	1.0	-3.0	-3.0	-3.0
19	-4.0	-9.0	-1.0	0.0	-4.0	2.0	6.0	16.0
20	10.0	10.0	-1.0	1.0	-2.0	0.0	-2.0	-12.0
21	-16.0	0.0	0.0	-1.0	-1.0	-1.0	1.0	-1.0
22	-3.0	-13.0	-3.0	-1.0	-1.0	-1.0	-2.0	-2.0
23	11.0	0.0	2.0	0.0	0.0	-1.0	0.0	14.0
24	-22.0	7.0	2.0	-4.0	-4.0	1.0	1.0	-7.0
25	7.0	-7.0	-1.0	1.0	5.0	-3.0	-2.0	1.0
26	-25.0	-2.0	-1.0	-1.0	-2.0	-3.0	-3.0	-8.0
27	23.0	-1.0	-1.0	-2.0	-3.0	-1.0	0.0	-12.0
28	18.0	11.0	2.0	0.0	0.0	2.0	-2.0	3.0
29	-45.0	-9.0	-6.0	-2.0	-5.0	-2.0	-3.0	-7.0
30	-4.0	-5.0	-1.0	0.0	0.0	-1.0	-4.0	-6.0
31	-6.0	-4.0	-2.0	1.0	0.0	-1.0	1.0	2.0
32	-5.0	-5.0	-1.0	-1.0	-2.0	0.0	2.0	2.0
33	9.0	7.0	1.0	-2.0	-1.0	1.0	-1.0	1.0
34	9.0	10.0	0.0	-1.0	-1.0	0.0	-1.0	-10.0
35	-35.0	-6.0	-3.0	-3.0	-4.0	0.0	0.0	5.0
36	21.0	-3.0	-4.0	0.0	5.0	0.0	1.0	4.0
37	1.0	-9.0	-2.0	-2.0	-1.0	0.0	-2.0	-1.0
38	-8.0	1.0	2.0	0.0	0.0	1.0	5.0	5.0
39	2.0	-1.0	-1.0	2.0	1.0	1.0	4.0	34.0
40	7.0	6.0	0.0	-2.0	-1.0	-2.0	-3.0	1.0
41	-20.0	-11.0	-4.0	-1.0	-4.0	-1.0	-2.0	-8.0
42	7.0	1.0	-1.0	1.0	7.0	0.0	-1.0	1.0
43	22.0	11.0	1.0	-3.0	-8.0	-2.0	-5.0	-9.0
44	-18.0	-13.0	-6.0	-1.0	-1.0	-3.0	-3.0	-14.0
45	12.0	0.0	-1.0	-4.0	-2.0	1.0	6.0	3.0
46	9.0	0.0	-3.0	-1.0	-2.0	-2.0	-2.0	5.0
47	-21.0	5.0	3.0	1.0	3.0	0.0	-4.0	-12.0
48	5.0	-10.0	-1.0	0.0	-1.0	-2.0	0.0	-1.0
49	8.0	7.0	-2.0	-1.0	-1.0	-2.0	-4.0	2.0
50	-14.0	2.0	-1.0	-1.0	-3.0	-2.0	-3.0	-17.0
51	25.0	-18.0	-4.0	-1.0	1.0	0.0	1.0	6.0
52	-18.0	10.0	2.0	-1.0	-3.0	-2.0	2.0	-2.0
53	6.0	-4.0	3.0	1.0	-1.0	-1.0	1.0	14.0
54	4.0	-4.0	1.0	-1.0	-6.0	0.0	0.0	-1.0
55	-16.0	-8.0	-6.0	-1.0	3.0	-3.0	-7.0	-11.0
56	-2.0	7.0	5.0	0.0	0.0	0.0	2.0	8.0
57	9.0	-2.0	-3.0	-2.0	1.0	-2.0	-4.0	-8.0
58	12.0	4.0	-1.0	-1.0	-4.0	-1.0	1.0	6.0
59	-32.0	-7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-12.0
60	25.0	1.0	1.0	2.0	0.0	1.0	0.0	-7.0
61	-60.0	-6.0	-2.0	-2.0	1.0	-3.0	-5.0	-18.0
62	0.0	-6.0	-1.0	1.0	-3.0	-1.0	3.0	9.0
63	23.0	7.0	3.0	1.0	6.0	-2.0	-1.0	-6.0
64	-6.0	3.0	2.0	-2.0	-2.0	0.0	1.0	-2.0
65	42.0	7.0	-2.0	-4.0	-3.0	-1.0	1.0	-8.0
66	-12.0	-2.0	-2.0	-2.0	-1.0	-1.0	3.0	29.0
67	-1.0	-13.0	-3.0	1.0	-2.0	-1.0	0.0	4.0
68	-6.0	-2.0	-3.0	0.0	-4.0	-1.0	-2.0	-10.0
69	31.0	2.0	2.0	5.0	0.0	0.0	3.0	8.0
70	-20.0	8.0	0.0	-4.0	-2.0	-4.0	-5.0	-15.0
71	-15.0	3.0	3.0	0.0	-1.0	0.0	3.0	1.0
72	30.0	0.0	-5.0	-4.0	-2.0	-2.0	-3.0	5.0
73	15.0	5.0	1.0	2.0	0.0	-2.0	0.0	19.0
74	22.0	0.0	-1.0	0.0	3.0	-2.0	-2.0	0.0
75	-2.0	1.0	-2.0	-2.0	-1.0	-2.0	-1.0	-7.0
76	-18.0	-10.0	-3.0	0.0	-2.0	0.0	0.0	-3.0
77	0.0	0.0	-2.0	-1.0	-1.0	-1.0	5.0	8.0
78	-3.0	3.0	2.0	1.0	1.0	-1.0	-4.0	-20.0
