	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3.0	-15.0	-4.0	0.0	-1.0	-1.0	-1.0	-4.0
2	4.0	3.0	-2.0	-2.0	1.0	-1.0	1.0	0.0
3	-9.0	-1.0	-1.0	-2.0	0.0	-1.0	-1.0	0.0
4	44.0	15.0	3.0	0.0	1.0	-2.0	0.0	2.0
5	-55.0	-16.0	0.0	0.0	0.0	0.0	-2.0	-4.0
6	1.0	-4.0	-2.0	-1.0	-1.0	0.0	0.0	3.0
7	-5.0	3.0	-1.0	-1.0	-3.0	0.0	0.0	1.0
8	21.0	3.0	1.0	0.0	-1.0	0.0	1.0	3.0
9	-24.0	0.0	-4.0	-2.0	-1.0	-2.0	-2.0	-8.0
10	3.0	-1.0	-1.0	1.0	-2.0	-3.0	-3.0	-4.0
11	-24.0	-7.0	-2.0	-1.0	-1.0	-1.0	-2.0	-2.0
12	-2.0	-4.0	-3.0	-1.0	-2.0	-2.0	1.0	1.0
13	15.0	6.0	1.0	0.0	0.0	-1.0	1.0	0.0
14	-14.0	-11.0	-3.0	-2.0	-2.0	-1.0	-1.0	0.0
15	19.0	9.0	0.0	0.0	1.0	0.0	-1.0	-2.0
16	12.0	-6.0	-3.0	-2.0	-1.0	-1.0	-4.0	1.0
17	15.0	-3.0	-6.0	-1.0	-3.0	-3.0	-2.0	-3.0
18	-26.0	-5.0	0.0	-1.0	-1.0	-2.0	-4.0	-4.0
19	-7.0	-4.0	-1.0	-1.0	-1.0	-3.0	0.0	-2.0
20	3.0	-7.0	-2.0	-2.0	-2.0	0.0	1.0	3.0
21	29.0	7.0	0.0	-1.0	0.0	-1.0	0.0	4.0
22	3.0	3.0	0.0	-2.0	-4.0	1.0	-1.0	0.0
23	12.0	3.0	-1.0	2.0	1.0	-1.0	-1.0	0.0
24	-16.0	-5.0	-4.0	-1.0	-3.0	-2.0	-2.0	-6.0
25	15.0	6.0	0.0	0.0	-1.0	-3.0	-2.0	2.0
26	-17.0	-1.0	2.0	1.0	1.0	-1.0	-2.0	-6.0
27	-16.0	-10.0	-3.0	1.0	-1.0	-1.0	3.0	0.0
28	-17.0	1.0	-1.0	-1.0	-1.0	-2.0	-7.0	-9.0
29	5.0	-2.0	-1.0	0.0	-2.0	-1.0	-1.0	-1.0
30	12.0	3.0	1.0	1.0	-1.0	-1.0	0.0	1.0
31	2.0	2.0	-1.0	-1.0	-2.0	-2.0	-1.0	-2.0
32	-2.0	-4.0	-1.0	-1.0	-1.0	0.0	1.0	-1.0
33	15.0	9.0	2.0	-1.0	1.0	1.0	1.0	4.0
34	-46.0	-17.0	-2.0	-2.0	-1.0	-2.0	-1.0	-4.0
35	27.0	4.0	-1.0	-3.0	-1.0	-2.0	-3.0	-2.0
36	3.0	-10.0	-3.0	-2.0	-1.0	-1.0	1.0	2.0
37	-7.0	-1.0	-2.0	0.0	0.0	0.0	-3.0	-12.0
38	-12.0	-1.0	-1.0	-1.0	-1.0	1.0	2.0	1.0
39	2.0	-2.0	-3.0	-1.0	-1.0	1.0	0.0	2.0
40	-10.0	2.0	-2.0	-2.0	-1.0	-1.0	-2.0	-1.0
41	11.0	1.0	-1.0	-1.0	3.0	0.0	1.0	3.0
42	22.0	-2.0	-4.0	-1.0	-3.0	-2.0	-2.0	-3.0
43	-18.0	-6.0	-2.0	-1.0	-2.0	-1.0	-4.0	-7.0
44	-10.0	1.0	-3.0	-1.0	-2.0	-1.0	0.0	-1.0
45	3.0	-5.0	0.0	0.0	-2.0	-1.0	1.0	7.0
46	10.0	7.0	2.0	-1.0	-3.0	1.0	-2.0	-1.0
47	16.0	3.0	-2.0	-1.0	-3.0	-3.0	-2.0	-2.0
48	-21.0	-11.0	-2.0	2.0	0.0	0.0	-1.0	-4.0
49	-15.0	-2.0	0.0	-1.0	-3.0	1.0	0.0	5.0
50	6.0	-1.0	-2.0	-1.0	-1.0	-2.0	-1.0	0.0
51	6.0	11.0	3.0	0.0	0.0	-1.0	0.0	1.0
52	-13.0	-6.0	-1.0	-2.0	-2.0	-3.0	-3.0	-3.0
53	14.0	-8.0	-5.0	-1.0	-2.0	-3.0	-2.0	-1.0
54	6.0	3.0	2.0	-1.0	-1.0	0.0	-2.0	-1.0
55	-7.0	1.0	2.0	0.0	0.0	0.0	1.0	8.0
56	21.0	8.0	1.0	0.0	-1.0	-1.0	-1.0	-3.0
