	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	4.0	0.0	0.0	3.0	-2.0	3.0	6.0	7.0
2	6.0	-1.0	-2.0	-2.0	-1.0	-3.0	-4.0	-1.0
3	2.0	0.0	-4.0	-4.0	-7.0	-3.0	-7.0	-15.0
4	3.0	6.0	8.0	4.0	1.0	-1.0	-3.0	-10.0
5	2.0	4.0	3.0	0.0	-2.0	1.0	1.0	2.0
6	-1.0	-2.0	-2.0	0.0	6.0	-1.0	-5.0	-11.0
7	1.0	-3.0	-4.0	-4.0	-4.0	-1.0	-3.0	5.0
8	-16.0	-4.0	-3.0	1.0	2.0	2.0	1.0	-3.0
9	2.0	-4.0	1.0	1.0	-4.0	1.0	-2.0	-5.0
10	9.0	3.0	1.0	1.0	-3.0	0.0	-5.0	-5.0
11	-6.0	2.0	-3.0	-3.0	-3.0	-2.0	-2.0	-4.0
12	3.0	-5.0	-3.0	-5.0	-9.0	-1.0	-1.0	1.0
13	2.0	3.0	4.0	3.0	5.0	-1.0	0.0	5.0
14	-7.0	-8.0	-5.0	-1.0	-2.0	-2.0	2.0	6.0
15	-1.0	0.0	-2.0	-3.0	2.0	-3.0	-2.0	-3.0
16	-3.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0
17	-1.0	0.0	1.0	2.0	0.0	2.0	5.0	10.0
18	-2.0	4.0	-1.0	-4.0	-4.0	-2.0	0.0	-15.0
19	-1.0	-2.0	-3.0	-2.0	-3.0	-2.0	-1.0	0.0
20	2.0	4.0	0.0	-1.0	0.0	-1.0	1.0	0.0
21	-15.0	-9.0	-7.0	-2.0	5.0	1.0	0.0	-19.0
22	-5.0	-4.0	0.0	0.0	-4.0	-3.0	-5.0	-13.0
23	-3.0	2.0	0.0	0.0	-2.0	-2.0	-2.0	2.0
24	-1.0	3.0	2.0	0.0	-1.0	0.0	3.0	8.0
25	16.0	1.0	-1.0	1.0	-4.0	2.0	5.0	14.0
26	10.0	-4.0	-6.0	-5.0	-2.0	-5.0	-8.0	-15.0
27	-1.0	4.0	0.0	-3.0	4.0	-2.0	-2.0	-4.0
28	-4.0	0.0	-2.0	1.0	-1.0	3.0	3.0	7.0
29	-15.0	2.0	2.0	1.0	-1.0	1.0	2.0	-2.0
30	10.0	-5.0	-1.0	-2.0	1.0	-4.0	-2.0	6.0
31	-3.0	-7.0	-4.0	-3.0	-1.0	-2.0	1.0	0.0
32	5.0	3.0	-1.0	-1.0	-1.0	-1.0	-2.0	-1.0
33	7.0	5.0	2.0	3.0	-5.0	1.0	1.0	-1.0
34	-31.0	-4.0	0.0	1.0	3.0	0.0	5.0	6.0
35	14.0	0.0	-3.0	-3.0	-8.0	-2.0	-6.0	17.0
36	10.0	0.0	-1.0	-2.0	7.0	2.0	2.0	3.0
37	-9.0	-2.0	0.0	2.0	1.0	0.0	0.0	2.0
38	14.0	-3.0	-5.0	-4.0	-2.0	-3.0	-4.0	-18.0
39	-7.0	-3.0	-1.0	-1.0	-4.0	-2.0	2.0	7.0
40	-11.0	3.0	2.0	1.0	0.0	-1.0	-2.0	-7.0
41	14.0	-3.0	-3.0	-1.0	-1.0	0.0	-3.0	0.0
42	-5.0	-2.0	2.0	-1.0	-2.0	-1.0	-1.0	8.0
43	-13.0	-7.0	-6.0	-5.0	-7.0	-2.0	-2.0	-15.0
44	13.0	0.0	-1.0	0.0	-4.0	-2.0	-3.0	21.0
45	-33.0	-10.0	-2.0	-2.0	-2.0	-1.0	-3.0	-20.0
46	17.0	2.0	-3.0	-1.0	-1.0	-1.0	-1.0	2.0
47	6.0	2.0	0.0	-2.0	3.0	0.0	2.0	4.0
48	-7.0	-6.0	-1.0	0.0	-2.0	-2.0	-2.0	-8.0
49	-6.0	1.0	-1.0	1.0	3.0	-3.0	-3.0	-11.0
50	-7.0	-4.0	-5.0	-3.0	-10.0	0.0	0.0	4.0
