	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	3.0	-2.0	-6.0	-11.0	-7.0	-6.0	-6.0
2	-32.0	-24.0	-7.0	-4.0	4.0	-5.0	-5.0	-5.0
3	10.0	7.0	3.0	2.0	3.0	5.0	5.0	1.0
4	2.0	-6.0	-1.0	1.0	3.0	1.0	3.0	2.0
5	-4.0	-1.0	-2.0	-6.0	-1.0	-4.0	-4.0	-3.0
6	10.0	3.0	-1.0	-3.0	-4.0	-2.0	-2.0	-3.0
7	-16.0	-1.0	1.0	1.0	2.0	1.0	2.0	9.0
8	-10.0	3.0	0.0	2.0	-1.0	-1.0	-2.0	-5.0
9	-8.0	-14.0	-4.0	-4.0	-4.0	-5.0	-5.0	-3.0
10	-3.0	3.0	0.0	-1.0	-1.0	-2.0	-2.0	0.0
11	15.0	2.0	0.0	1.0	3.0	3.0	2.0	0.0
12	11.0	6.0	0.0	2.0	3.0	2.0	-1.0	-1.0
13	-18.0	-4.0	-4.0	-2.0	-4.0	-2.0	-5.0	-4.0
14	2.0	1.0	-4.0	-5.0	-5.0	-4.0	-6.0	-23.0
15	4.0	0.0	2.0	2.0	2.0	-1.0	2.0	6.0
16	-4.0	2.0	1.0	-1.0	-3.0	0.0	0.0	0.0
17	22.0	2.0	-1.0	-1.0	0.0	-2.0	-4.0	0.0
18	-29.0	-6.0	0.0	-3.0	1.0	-1.0	-3.0	-3.0
19	-4.0	-1.0	0.0	1.0	1.0	2.0	2.0	-2.0
20	6.0	-1.0	-1.0	-1.0	-3.0	-1.0	1.0	-2.0
21	-1.0	-2.0	-1.0	-2.0	0.0	-2.0	-3.0	-8.0
22	26.0	10.0	3.0	2.0	2.0	1.0	3.0	17.0
23	11.0	-1.0	0.0	0.0	-5.0	-2.0	-2.0	3.0
24	2.0	-12.0	-3.0	-1.0	3.0	0.0	-2.0	-2.0
25	-4.0	-4.0	-4.0	-5.0	-5.0	-7.0	-10.0	5.0
26	-6.0	10.0	2.0	0.0	0.0	0.0	4.0	6.0
27	3.0	-3.0	-2.0	1.0	1.0	0.0	1.0	-5.0
28	14.0	6.0	2.0	0.0	-4.0	-1.0	-1.0	0.0
29	-19.0	-9.0	-6.0	-2.0	3.0	-6.0	-7.0	-13.0
30	1.0	0.0	1.0	-1.0	-1.0	0.0	0.0	2.0
31	11.0	3.0	1.0	2.0	0.0	3.0	3.0	3.0
32	-7.0	12.0	4.0	1.0	-3.0	0.0	1.0	-4.0
33	18.0	-10.0	-5.0	-5.0	-2.0	-6.0	-8.0	-6.0
34	9.0	7.0	-4.0	-5.0	-6.0	-4.0	-2.0	-5.0
35	-2.0	2.0	2.0	3.0	5.0	3.0	6.0	5.0
36	-2.0	-2.0	0.0	-1.0	-1.0	-2.0	-1.0	-4.0
37	0.0	10.0	-1.0	-4.0	-3.0	-3.0	-1.0	2.0
38	5.0	-15.0	-2.0	2.0	0.0	-2.0	-3.0	-7.0
39	7.0	-4.0	0.0	-1.0	-2.0	1.0	4.0	-14.0
40	-1.0	5.0	1.0	1.0	7.0	2.0	3.0	14.0
41	9.0	-4.0	-6.0	-5.0	-8.0	-6.0	-8.0	-9.0
42	3.0	-4.0	1.0	0.0	-1.0	-2.0	-3.0	-8.0
43	-41.0	-7.0	-3.0	0.0	-1.0	2.0	5.0	4.0
44	6.0	-8.0	-7.0	-3.0	1.0	-1.0	-5.0	-9.0
45	-8.0	-4.0	-2.0	-1.0	-3.0	-1.0	-4.0	-7.0
46	2.0	10.0	2.0	-1.0	-2.0	0.0	-1.0	0.0
47	-16.0	-8.0	-1.0	-1.0	2.0	0.0	1.0	-5.0
48	1.0	-4.0	-4.0	-1.0	0.0	-2.0	0.0	5.0
49	9.0	9.0	0.0	-2.0	-3.0	-2.0	-3.0	-4.0
50	-37.0	-4.0	0.0	0.0	1.0	-1.0	0.0	-6.0
51	18.0	-1.0	4.0	2.0	2.0	1.0	1.0	6.0
52	-15.0	-8.0	-2.0	-3.0	-2.0	-3.0	-2.0	-7.0
53	-14.0	-9.0	-3.0	-3.0	-3.0	-3.0	-4.0	-7.0
54	27.0	13.0	2.0	1.0	0.0	0.0	0.0	-10.0
55	-37.0	2.0	-1.0	-2.0	-3.0	-2.0	-3.0	-2.0
56	3.0	-3.0	-2.0	-1.0	4.0	-2.0	-2.0	-1.0
57	-26.0	-9.0	-3.0	-4.0	-3.0	-2.0	1.0	1.0
58	2.0	-2.0	-2.0	-1.0	1.0	-1.0	-2.0	1.0
59	11.0	7.0	6.0	3.0	0.0	1.0	1.0	8.0
60	15.0	3.0	-1.0	-2.0	-3.0	-1.0	-2.0	1.0
61	-9.0	-11.0	-1.0	-2.0	-3.0	0.0	0.0	3.0
62	-8.0	-2.0	-5.0	-3.0	0.0	0.0	-1.0	-3.0
63	16.0	12.0	3.0	1.0	1.0	0.0	1.0	-4.0
64	-9.0	-11.0	-1.0	0.0	-1.0	0.0	-3.0	-1.0
65	8.0	8.0	0.0	0.0	1.0	-1.0	0.0	3.0
66	5.0	-11.0	-3.0	-2.0	-2.0	1.0	0.0	5.0
67	18.0	3.0	0.0	1.0	1.0	-1.0	-2.0	4.0
68	-17.0	-1.0	-1.0	-1.0	-2.0	-2.0	-4.0	-11.0
69	-17.0	-2.0	2.0	1.0	-4.0	0.0	0.0	-4.0
70	26.0	3.0	1.0	-1.0	1.0	0.0	-1.0	10.0
71	-5.0	4.0	-1.0	1.0	2.0	0.0	1.0	-3.0
72	-2.0	-7.0	-4.0	-3.0	-5.0	-2.0	-2.0	5.0
73	17.0	10.0	5.0	-1.0	2.0	-1.0	-2.0	-5.0
74	1.0	0.0	1.0	1.0	1.0	2.0	4.0	14.0
75	-14.0	-9.0	-3.0	-1.0	0.0	0.0	0.0	-6.0
76	-2.0	-6.0	-4.0	-4.0	-3.0	-3.0	-2.0	-7.0
77	1.0	-5.0	-2.0	-1.0	0.0	-1.0	-3.0	-5.0
78	-5.0	-4.0	1.0	-1.0	0.0	2.0	0.0	1.0
79	1.0	-2.0	-3.0	-4.0	-1.0	-2.0	-3.0	1.0
80	3.0	-9.0	-2.0	0.0	-1.0	-1.0	-2.0	0.0
81	8.0	9.0	-1.0	0.0	-1.0	0.0	2.0	11.0
82	-33.0	-12.0	-3.0	-1.0	1.0	-1.0	-1.0	-8.0
83	14.0	5.0	1.0	0.0	-1.0	1.0	0.0	3.0
84	12.0	1.0	0.0	-2.0	-6.0	1.0	0.0	4.0
85	6.0	7.0	4.0	1.0	2.0	0.0	-2.0	17.0
86	-13.0	-2.0	-2.0	-2.0	-2.0	-2.0	-3.0	-2.0
87	35.0	3.0	-1.0	-3.0	-2.0	1.0	-1.0	-1.0
