	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1.0	5.0	4.0	3.0	5.0	3.0	4.0	2.0
2	7.0	-4.0	-3.0	-2.0	0.0	-2.0	-5.0	-1.0
3	-5.0	-1.0	-3.0	-5.0	-4.0	-5.0	-3.0	9.0
4	-20.0	-7.0	1.0	0.0	0.0	1.0	0.0	-4.0
5	12.0	5.0	0.0	1.0	2.0	2.0	1.0	-3.0
6	3.0	5.0	0.0	-2.0	-8.0	0.0	0.0	-1.0
7	-14.0	-3.0	-4.0	-4.0	-1.0	-4.0	-3.0	-7.0
8	-18.0	-13.0	0.0	-1.0	-1.0	-3.0	-3.0	-13.0
9	-8.0	-2.0	3.0	3.0	-1.0	1.0	1.0	8.0
10	-5.0	-7.0	0.0	-1.0	11.0	1.0	1.0	-3.0
11	13.0	9.0	1.0	-2.0	-5.0	-3.0	-4.0	-6.0
12	8.0	-6.0	-2.0	0.0	-1.0	2.0	4.0	4.0
13	-13.0	-9.0	-1.0	2.0	-1.0	2.0	4.0	5.0
14	-5.0	6.0	-3.0	-3.0	-4.0	-4.0	-4.0	2.0
15	23.0	-1.0	-4.0	-4.0	-3.0	-4.0	-3.0	0.0
16	-16.0	-2.0	-1.0	2.0	1.0	2.0	0.0	0.0
17	-22.0	3.0	1.0	1.0	1.0	1.0	0.0	-8.0
18	5.0	-7.0	-3.0	0.0	-1.0	-3.0	-3.0	-1.0
19	-8.0	2.0	-3.0	-2.0	0.0	-2.0	-2.0	-11.0
20	2.0	-1.0	-1.0	-1.0	-3.0	0.0	0.0	1.0
21	39.0	7.0	1.0	2.0	1.0	-1.0	-2.0	16.0
22	-36.0	-6.0	-1.0	-2.0	-1.0	0.0	0.0	-3.0
23	-4.0	-4.0	-4.0	-3.0	-4.0	-2.0	-5.0	-7.0
24	3.0	4.0	6.0	0.0	0.0	0.0	1.0	3.0
25	15.0	6.0	2.0	4.0	4.0	2.0	1.0	4.0
26	8.0	-13.0	-4.0	-3.0	-3.0	-1.0	-2.0	-10.0
27	8.0	11.0	-3.0	-3.0	0.0	-5.0	-5.0	-5.0
28	7.0	2.0	1.0	1.0	-1.0	2.0	3.0	4.0
29	-23.0	-1.0	0.0	0.0	-1.0	1.0	0.0	-4.0
