	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	-14.0	-2.0	-1.0	-1.0	-2.0	0.0	-1.0	0.0
2	0.0	-3.0	-3.0	-2.0	-2.0	-2.0	-1.0	2.0
3	17.0	12.0	-1.0	-1.0	-1.0	-2.0	-1.0	10.0
4	-21.0	-5.0	-1.0	-3.0	0.0	1.0	1.0	-1.0
5	3.0	2.0	0.0	2.0	0.0	-1.0	2.0	3.0
6	8.0	-4.0	0.0	0.0	-1.0	0.0	0.0	-2.0
7	-8.0	1.0	-1.0	1.0	-1.0	0.0	-2.0	-8.0
8	26.0	-4.0	-8.0	-2.0	-3.0	-3.0	-4.0	-1.0
9	-4.0	2.0	0.0	-1.0	-1.0	0.0	-1.0	1.0
10	3.0	-4.0	-2.0	-1.0	-1.0	-2.0	-9.0	1.0
11	1.0	-3.0	1.0	-3.0	-1.0	-2.0	-3.0	0.0
12	-7.0	2.0	2.0	-2.0	-1.0	1.0	-1.0	-3.0
13	4.0	3.0	0.0	1.0	0.0	-2.0	-3.0	-1.0
14	-8.0	-10.0	-2.0	-1.0	-1.0	-2.0	-1.0	-6.0
15	-3.0	-3.0	1.0	1.0	0.0	-1.0	-2.0	-4.0
16	0.0	-5.0	-2.0	-3.0	0.0	-1.0	-2.0	12.0
17	-6.0	-5.0	-2.0	-3.0	-1.0	-1.0	-1.0	-5.0
18	7.0	13.0	-2.0	-1.0	0.0	-1.0	1.0	-4.0
19	2.0	1.0	-3.0	-1.0	-2.0	0.0	-1.0	4.0
20	-10.0	-4.0	0.0	0.0	-3.0	-1.0	-1.0	-6.0
21	-10.0	-2.0	0.0	0.0	-2.0	0.0	0.0	-9.0
22	16.0	3.0	2.0	1.0	0.0	0.0	4.0	3.0
23	-26.0	-12.0	-5.0	-2.0	0.0	-3.0	1.0	-3.0
24	-4.0	7.0	2.0	-1.0	-1.0	-2.0	-2.0	-11.0
25	-9.0	2.0	2.0	1.0	-1.0	-1.0	0.0	4.0
26	24.0	2.0	2.0	-1.0	0.0	-1.0	-2.0	1.0
27	1.0	0.0	-1.0	-3.0	-2.0	0.0	0.0	-4.0
28	6.0	3.0	2.0	1.0	2.0	-2.0	-8.0	-4.0
29	4.0	-2.0	-3.0	-1.0	0.0	0.0	0.0	12.0
30	-12.0	0.0	-3.0	-3.0	0.0	-2.0	-1.0	9.0
31	5.0	-1.0	-2.0	-2.0	0.0	1.0	0.0	-1.0
32	-15.0	-5.0	-1.0	-1.0	-1.0	0.0	2.0	0.0
33	11.0	2.0	1.0	-1.0	-2.0	-1.0	0.0	0.0
34	11.0	-1.0	-1.0	0.0	-4.0	-3.0	-1.0	-6.0
35	-9.0	-11.0	-3.0	0.0	-1.0	-2.0	0.0	-3.0
36	-5.0	4.0	-1.0	0.0	-2.0	0.0	1.0	0.0
37	7.0	1.0	0.0	2.0	0.0	-2.0	-2.0	-6.0
38	-19.0	-6.0	-2.0	-1.0	-1.0	1.0	4.0	4.0
39	0.0	4.0	0.0	0.0	-2.0	-3.0	-4.0	-7.0
40	22.0	2.0	-1.0	-1.0	-1.0	1.0	2.0	7.0
41	-34.0	-12.0	-2.0	-2.0	-2.0	0.0	-4.0	-12.0
42	-4.0	4.0	-1.0	0.0	0.0	0.0	-1.0	-4.0
43	5.0	-8.0	-2.0	0.0	-2.0	0.0	1.0	2.0
44	-1.0	0.0	-1.0	-1.0	-1.0	-2.0	-1.0	-2.0
45	0.0	-8.0	-1.0	-2.0	-1.0	-1.0	1.0	15.0
46	-7.0	3.0	2.0	0.0	2.0	-3.0	0.0	12.0
47	-9.0	-1.0	-2.0	-2.0	2.0	0.0	-1.0	2.0
48	-5.0	3.0	-2.0	-1.0	-2.0	-3.0	-3.0	-5.0
49	21.0	3.0	0.0	1.0	-1.0	0.0	-1.0	-1.0
50	-26.0	-3.0	-2.0	-1.0	-2.0	1.0	-3.0	-12.0
51	5.0	-1.0	0.0	0.0	1.0	-3.0	0.0	5.0
52	-8.0	1.0	0.0	0.0	-1.0	0.0	0.0	-1.0
53	1.0	3.0	-2.0	-1.0	-1.0	-1.0	-1.0	-7.0
54	13.0	-2.0	1.0	0.0	-1.0	1.0	0.0	-9.0
55	-2.0	11.0	-1.0	0.0	-3.0	-2.0	-3.0	2.0
56	-19.0	-12.0	-1.0	-1.0	0.0	0.0	-1.0	-5.0
57	15.0	3.0	-6.0	-4.0	-2.0	-4.0	-5.0	-4.0
58	25.0	2.0	-1.0	-2.0	-1.0	1.0	0.0	1.0
59	-30.0	-4.0	0.0	-2.0	-1.0	-3.0	-5.0	11.0
60	8.0	-6.0	-4.0	-1.0	1.0	-1.0	1.0	3.0
61	4.0	4.0	1.0	-1.0	1.0	-2.0	-1.0	-4.0
62	-34.0	-3.0	0.0	-3.0	-1.0	-1.0	-3.0	-6.0
63	-21.0	-6.0	-2.0	-1.0	-2.0	2.0	-1.0	-14.0
64	13.0	0.0	-1.0	-2.0	-1.0	0.0	2.0	14.0
65	0.0	-5.0	-4.0	-4.0	-1.0	0.0	1.0	-1.0
66	5.0	10.0	2.0	0.0	0.0	-3.0	-1.0	-5.0
67	11.0	2.0	-2.0	1.0	-2.0	1.0	0.0	-6.0
68	-19.0	-11.0	-2.0	-2.0	-4.0	-5.0	-5.0	-10.0
69	23.0	-3.0	-1.0	-1.0	-3.0	0.0	1.0	11.0
70	-38.0	-5.0	-4.0	-3.0	-1.0	-2.0	-3.0	-5.0
71	24.0	10.0	3.0	-3.0	-1.0	0.0	0.0	7.0
72	18.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
73	-9.0	1.0	-1.0	0.0	-1.0	1.0	0.0	9.0
74	-3.0	-6.0	0.0	0.0	-1.0	0.0	0.0	-2.0
75	10.0	-1.0	-1.0	-1.0	0.0	-1.0	0.0	0.0
76	6.0	0.0	-4.0	0.0	-1.0	-1.0	-1.0	-2.0
77	-13.0	1.0	3.0	1.0	0.0	-1.0	-2.0	-6.0
78	15.0	4.0	0.0	1.0	0.0	0.0	0.0	2.0
79	8.0	5.0	-2.0	-2.0	-2.0	-2.0	-2.0	-4.0
80	-9.0	-7.0	-3.0	-2.0	-3.0	-1.0	-1.0	-3.0
81	-12.0	0.0	-1.0	0.0	1.0	0.0	1.0	-3.0
82	1.0	-4.0	1.0	-1.0	1.0	0.0	0.0	0.0
83	7.0	0.0	1.0	-2.0	-1.0	-2.0	1.0	5.0
84	-14.0	3.0	1.0	0.0	-1.0	0.0	0.0	-2.0
85	1.0	4.0	-2.0	0.0	-1.0	-3.0	-3.0	-9.0
86	10.0	-8.0	-4.0	0.0	-2.0	-1.0	0.0	1.0
87	13.0	1.0	2.0	0.0	0.0	2.0	3.0	-9.0
88	-37.0	-9.0	-1.0	-4.0	-3.0	-1.0	-3.0	-4.0
89	-1.0	2.0	-1.0	-1.0	-1.0	0.0	0.0	-5.0
90	17.0	-1.0	-3.0	0.0	-1.0	0.0	0.0	2.0
91	-12.0	-4.0	0.0	1.0	1.0	-2.0	-3.0	-8.0
92	14.0	8.0	-1.0	1.0	0.0	-1.0	-1.0	-4.0
93	4.0	-5.0	-2.0	0.0	-2.0	-2.0	-3.0	-6.0
94	-29.0	-10.0	-2.0	0.0	-2.0	-1.0	-4.0	-3.0
95	-4.0	-1.0	-4.0	-2.0	-3.0	-1.0	0.0	3.0
96	9.0	7.0	1.0	-2.0	0.0	0.0	0.0	1.0
97	-2.0	-1.0	-1.0	-2.0	-2.0	0.0	-1.0	4.0
98	-9.0	-10.0	-4.0	-1.0	-2.0	-3.0	-4.0	-3.0
99	-6.0	1.0	0.0	-1.0	-1.0	-1.0	2.0	-18.0
100	-4.0	3.0	3.0	0.0	0.0	1.0	1.0	7.0
101	19.0	9.0	0.0	-2.0	-2.0	-3.0	0.0	-5.0
102	2.0	-7.0	-6.0	-4.0	-3.0	-1.0	2.0	18.0
103	-21.0	-6.0	0.0	1.0	1.0	-3.0	-2.0	-4.0
104	-8.0	-5.0	-2.0	0.0	1.0	-2.0	-1.0	-8.0
105	14.0	15.0	1.0	1.0	-1.0	0.0	2.0	8.0
106	-13.0	-5.0	-3.0	-3.0	-2.0	1.0	1.0	-4.0
107	3.0	4.0	1.0	1.0	0.0	-1.0	-1.0	4.0
108	16.0	-3.0	0.0	-1.0	0.0	-1.0	-2.0	2.0
109	-26.0	-16.0	-2.0	-2.0	-1.0	-3.0	-3.0	-8.0
110	26.0	14.0	1.0	1.0	-1.0	1.0	-2.0	0.0
111	-2.0	-7.0	-3.0	-1.0	-1.0	-2.0	-3.0	3.0
112	-5.0	-6.0	-2.0	-4.0	0.0	0.0	-3.0	-5.0
113	-19.0	-5.0	3.0	0.0	0.0	0.0	1.0	-3.0
114	32.0	6.0	1.0	2.0	0.0	-1.0	-1.0	-3.0
115	21.0	9.0	4.0	1.0	-1.0	1.0	1.0	9.0
116	-20.0	-11.0	-7.0	-1.0	-5.0	-1.0	-2.0	-5.0
117	-19.0	-17.0	2.0	0.0	1.0	-1.0	-3.0	-2.0
118	-3.0	9.0	-1.0	-3.0	-1.0	0.0	-1.0	-2.0
119	21.0	-11.0	0.0	0.0	1.0	1.0	0.0	6.0
120	-15.0	7.0	-5.0	-3.0	-1.0	-4.0	-6.0	-12.0
121	1.0	-3.0	-4.0	-2.0	-1.0	-1.0	3.0	16.0
122	-6.0	-4.0	3.0	1.0	2.0	-2.0	-2.0	-1.0
123	21.0	4.0	-6.0	-4.0	-4.0	-4.0	-5.0	-2.0
124	-5.0	-12.0	4.0	2.0	-2.0	1.0	4.0	3.0
125	-16.0	10.0	-5.0	-3.0	-3.0	-2.0	-7.0	-10.0
126	20.0	15.0	2.0	-3.0	-1.0	1.0	0.0	-2.0
127	-48.0	-19.0	-1.0	-1.0	0.0	1.0	1.0	-2.0
128	17.0	5.0	-1.0	-2.0	1.0	-2.0	-1.0	1.0
129	12.0	-1.0	2.0	-2.0	-1.0	1.0	3.0	0.0
130	-15.0	-6.0	0.0	0.0	0.0	-3.0	-3.0	-4.0
131	20.0	5.0	-3.0	0.0	-1.0	-1.0	-3.0	-5.0
132	9.0	6.0	-1.0	1.0	-2.0	-1.0	0.0	0.0
133	-2.0	-4.0	-4.0	-2.0	-1.0	-1.0	-4.0	-19.0
134	-18.0	-6.0	-1.0	-1.0	-3.0	-2.0	0.0	-8.0
135	-3.0	0.0	0.0	-2.0	-1.0	-2.0	-1.0	-1.0
136	19.0	2.0	-1.0	1.0	1.0	1.0	0.0	2.0
137	-18.0	-4.0	-4.0	-2.0	0.0	-4.0	-1.0	-3.0
138	-7.0	-1.0	-1.0	-1.0	-2.0	-2.0	-4.0	-5.0
139	-27.0	-7.0	-4.0	-2.0	-1.0	-2.0	0.0	13.0
140	3.0	-2.0	-2.0	0.0	-1.0	-1.0	-1.0	-1.0
141	14.0	4.0	0.0	1.0	2.0	1.0	2.0	2.0
142	14.0	-2.0	0.0	0.0	1.0	-2.0	-2.0	1.0
143	11.0	3.0	0.0	-3.0	-1.0	-1.0	3.0	-1.0
144	-25.0	-1.0	0.0	0.0	-2.0	-1.0	-1.0	-4.0
145	-1.0	-7.0	-1.0	-1.0	0.0	-1.0	0.0	6.0
146	15.0	9.0	-3.0	-1.0	-1.0	0.0	4.0	-2.0
147	9.0	4.0	0.0	0.0	-1.0	0.0	-5.0	-3.0
148	8.0	2.0	0.0	0.0	-1.0	0.0	-2.0	2.0
149	9.0	-2.0	1.0	-1.0	0.0	-1.0	-1.0	0.0
150	-33.0	-16.0	-4.0	-1.0	-1.0	-1.0	-3.0	12.0
151	-9.0	-3.0	0.0	-1.0	0.0	0.0	-2.0	-2.0
152	1.0	3.0	-3.0	-3.0	-2.0	0.0	0.0	2.0
153	29.0	0.0	-3.0	-2.0	-1.0	0.0	-1.0	-1.0
154	-10.0	-12.0	-3.0	0.0	1.0	-2.0	2.0	-2.0
155	2.0	14.0	1.0	0.0	-1.0	-2.0	-1.0	-3.0
156	-4.0	-4.0	2.0	-1.0	0.0	-4.0	-5.0	-9.0
157	16.0	8.0	-1.0	0.0	-1.0	1.0	2.0	9.0
158	-7.0	-7.0	1.0	1.0	-1.0	-2.0	-2.0	1.0
159	-3.0	6.0	-3.0	0.0	0.0	-1.0	0.0	-5.0
160	0.0	-1.0	-3.0	-1.0	0.0	0.0	1.0	-2.0
161	-42.0	-12.0	-2.0	0.0	-1.0	1.0	-1.0	-3.0
162	13.0	-2.0	-3.0	-3.0	-2.0	0.0	-1.0	-4.0
163	-7.0	-3.0	1.0	0.0	-2.0	0.0	1.0	4.0
164	14.0	-2.0	5.0	2.0	-1.0	0.0	0.0	8.0
165	14.0	-4.0	-6.0	0.0	-3.0	-3.0	-4.0	-2.0
166	5.0	2.0	-2.0	-3.0	-1.0	1.0	1.0	21.0
167	-10.0	-5.0	-2.0	-1.0	-1.0	-2.0	0.0	-5.0
168	9.0	8.0	0.0	-2.0	1.0	1.0	3.0	9.0
169	-4.0	-1.0	4.0	1.0	2.0	0.0	0.0	1.0
170	-3.0	2.0	-4.0	-4.0	-1.0	-2.0	2.0	-8.0
171	11.0	1.0	-3.0	-4.0	1.0	-1.0	-1.0	-2.0
172	-9.0	-3.0	-3.0	-1.0	0.0	-3.0	-2.0	-3.0
173	3.0	0.0	-1.0	1.0	0.0	-1.0	-2.0	-15.0
174	-3.0	4.0	1.0	-2.0	0.0	-1.0	0.0	-3.0
175	0.0	0.0	-2.0	-3.0	-3.0	0.0	0.0	-4.0
176	-5.0	-2.0	-2.0	-2.0	-3.0	-1.0	-2.0	-4.0
177	10.0	14.0	4.0	-1.0	-1.0	-2.0	-5.0	-16.0
178	-5.0	-13.0	-4.0	-2.0	0.0	0.0	0.0	3.0
179	13.0	-6.0	-3.0	-1.0	0.0	0.0	-1.0	3.0
180	-55.0	-9.0	-3.0	-2.0	-2.0	-1.0	-2.0	-11.0
181	7.0	10.0	-2.0	0.0	-1.0	-2.0	-1.0	-2.0
182	-7.0	2.0	4.0	2.0	0.0	-1.0	0.0	-5.0
183	-13.0	-2.0	0.0	-1.0	-2.0	-2.0	-3.0	-3.0
184	26.0	1.0	-4.0	-1.0	-2.0	-3.0	1.0	5.0
185	6.0	3.0	0.0	-2.0	-1.0	1.0	2.0	5.0
186	18.0	11.0	3.0	-1.0	-1.0	-2.0	-2.0	-4.0
187	-16.0	-9.0	1.0	3.0	-1.0	-1.0	-3.0	-1.0
188	7.0	1.0	0.0	-2.0	-1.0	-1.0	-1.0	4.0
189	-21.0	-4.0	-2.0	0.0	0.0	-2.0	0.0	-4.0
190	19.0	-5.0	-3.0	0.0	-2.0	0.0	-4.0	-5.0
191	-8.0	-2.0	-1.0	0.0	1.0	-1.0	-2.0	3.0
