	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2.0	-4.0	-4.0	-8.0	-6.0	-8.0	-7.0	-1.0
2	-19.0	-8.0	-1.0	-4.0	-4.0	-1.0	-2.0	-1.0
3	-4.0	-5.0	-1.0	3.0	5.0	1.0	4.0	0.0
4	17.0	8.0	1.0	-1.0	-3.0	2.0	2.0	4.0
5	8.0	3.0	-5.0	-4.0	-4.0	-4.0	-6.0	-1.0
6	4.0	-1.0	-2.0	-1.0	1.0	-2.0	-1.0	0.0
7	-14.0	3.0	0.0	-1.0	0.0	0.0	0.0	-9.0
8	-58.0	-19.0	-2.0	0.0	1.0	-1.0	-1.0	-2.0
9	28.0	-4.0	-7.0	-4.0	-8.0	-6.0	-6.0	-4.0
10	-2.0	0.0	-1.0	-2.0	-4.0	-3.0	-3.0	-6.0
11	29.0	4.0	2.0	2.0	10.0	2.0	5.0	7.0
12	13.0	1.0	-1.0	1.0	-8.0	-2.0	-2.0	-5.0
13	-2.0	0.0	-2.0	-4.0	-3.0	-4.0	-2.0	-2.0
14	-19.0	-5.0	-2.0	0.0	-2.0	-1.0	0.0	-2.0
15	0.0	-8.0	0.0	1.0	0.0	3.0	2.0	-1.0
16	32.0	11.0	0.0	-2.0	1.0	1.0	0.0	7.0
17	-55.0	-1.0	3.0	1.0	-1.0	1.0	-2.0	-2.0
18	85.0	3.0	-1.0	-1.0	-8.0	-2.0	-1.0	-1.0
19	-5.0	8.0	-1.0	1.0	9.0	1.0	1.0	8.0
20	5.0	5.0	0.0	-1.0	0.0	1.0	1.0	-6.0
21	2.0	-2.0	-1.0	-1.0	-4.0	-5.0	-6.0	-6.0
22	-10.0	0.0	-1.0	-1.0	-1.0	0.0	0.0	4.0
23	-18.0	-3.0	0.0	1.0	3.0	-1.0	0.0	4.0
24	31.0	6.0	-6.0	-6.0	-6.0	-8.0	-9.0	-5.0
25	-31.0	-11.0	-2.0	-1.0	2.0	-1.0	0.0	-3.0
26	-8.0	2.0	1.0	1.0	1.0	3.0	4.0	5.0
27	-10.0	-5.0	-2.0	-2.0	-3.0	-2.0	-3.0	-6.0
28	12.0	6.0	1.0	0.0	-1.0	-1.0	-2.0	4.0
29	-10.0	-10.0	-2.0	0.0	-4.0	-1.0	-3.0	-4.0
30	6.0	5.0	4.0	2.0	-1.0	2.0	3.0	0.0
31	5.0	0.0	-2.0	0.0	1.0	0.0	0.0	2.0
32	-31.0	-13.0	-6.0	-5.0	-6.0	-3.0	-4.0	-9.0
33	47.0	6.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0
34	-18.0	-9.0	-2.0	1.0	-2.0	2.0	2.0	1.0
35	-15.0	-11.0	-4.0	-2.0	1.0	-1.0	1.0	1.0
36	-22.0	-1.0	-2.0	-2.0	-1.0	-3.0	1.0	8.0
37	-12.0	-9.0	-4.0	-3.0	-6.0	-1.0	-4.0	-4.0
38	17.0	4.0	1.0	1.0	6.0	1.0	3.0	1.0
39	-5.0	0.0	0.0	-2.0	6.0	-1.0	0.0	0.0
40	16.0	-6.0	-4.0	-1.0	-9.0	-3.0	-5.0	-5.0
41	-19.0	7.0	-2.0	-3.0	-5.0	0.0	3.0	0.0
42	15.0	2.0	-1.0	0.0	1.0	2.0	0.0	4.0
43	4.0	7.0	4.0	0.0	-1.0	0.0	-3.0	1.0
44	3.0	-5.0	2.0	0.0	-1.0	1.0	-2.0	-3.0
45	-13.0	4.0	0.0	1.0	4.0	-1.0	-1.0	2.0
46	7.0	-1.0	0.0	1.0	0.0	0.0	-1.0	-3.0
47	9.0	-2.0	-3.0	-1.0	-7.0	-2.0	-3.0	2.0
48	-10.0	-1.0	-3.0	-1.0	2.0	-3.0	-4.0	-1.0
49	30.0	5.0	2.0	0.0	1.0	1.0	5.0	8.0
50	-21.0	-3.0	2.0	1.0	3.0	2.0	2.0	1.0
51	-11.0	1.0	-1.0	0.0	-3.0	0.0	-1.0	-4.0
52	33.0	6.0	-5.0	-4.0	-3.0	-5.0	-4.0	-9.0
53	15.0	3.0	0.0	-2.0	0.0	0.0	0.0	15.0
54	-19.0	-2.0	0.0	1.0	0.0	0.0	0.0	0.0
55	5.0	4.0	0.0	-1.0	-4.0	0.0	1.0	0.0
56	-16.0	-3.0	1.0	-1.0	-1.0	-3.0	0.0	-4.0
57	-7.0	-3.0	0.0	-1.0	1.0	-2.0	-2.0	-7.0
58	-18.0	-7.0	-2.0	1.0	-1.0	-2.0	1.0	0.0
59	28.0	-6.0	-3.0	-3.0	-8.0	-3.0	-5.0	-9.0
60	-11.0	-2.0	-1.0	-4.0	4.0	-2.0	-3.0	-5.0
61	7.0	-2.0	-2.0	-2.0	2.0	0.0	-2.0	-2.0
62	7.0	7.0	0.0	-1.0	-3.0	-1.0	-3.0	2.0
63	19.0	5.0	-2.0	-3.0	1.0	-3.0	-3.0	-1.0
64	-17.0	-4.0	-1.0	-2.0	-2.0	1.0	0.0	1.0
65	3.0	2.0	1.0	1.0	-1.0	-1.0	3.0	3.0
66	9.0	5.0	-1.0	-2.0	-1.0	0.0	3.0	1.0
67	-22.0	-15.0	-4.0	-3.0	-1.0	-3.0	-4.0	-10.0
68	25.0	12.0	1.0	-2.0	-3.0	0.0	0.0	-4.0
69	-32.0	-11.0	1.0	2.0	0.0	-1.0	-3.0	-12.0
70	-6.0	-1.0	0.0	0.0	1.0	1.0	3.0	3.0
71	42.0	6.0	-4.0	-4.0	-3.0	-2.0	-1.0	0.0
72	-41.0	-12.0	-4.0	0.0	-2.0	-4.0	-4.0	-13.0
73	5.0	2.0	-2.0	-3.0	0.0	2.0	1.0	6.0
74	-16.0	-1.0	4.0	0.0	1.0	-1.0	0.0	-5.0
75	-3.0	1.0	1.0	-1.0	-1.0	-1.0	1.0	-2.0
76	1.0	0.0	-2.0	-1.0	-2.0	-1.0	-1.0	5.0
77	-8.0	0.0	1.0	0.0	-1.0	0.0	-2.0	-3.0
78	3.0	-6.0	-4.0	-3.0	0.0	-1.0	0.0	0.0
79	4.0	5.0	1.0	-1.0	1.0	0.0	0.0	-4.0
80	-5.0	-9.0	-3.0	-3.0	-2.0	-1.0	1.0	4.0
81	10.0	4.0	2.0	0.0	-4.0	-1.0	1.0	-2.0
82	-11.0	-2.0	0.0	2.0	2.0	0.0	0.0	-3.0
83	7.0	2.0	0.0	1.0	0.0	-1.0	0.0	-1.0
84	-24.0	-13.0	-5.0	-1.0	-1.0	-4.0	-1.0	2.0
85	-4.0	4.0	0.0	-2.0	-5.0	0.0	1.0	1.0
86	9.0	-2.0	-3.0	-2.0	1.0	-3.0	-2.0	-3.0
87	0.0	3.0	0.0	1.0	1.0	1.0	-1.0	2.0
88	2.0	3.0	0.0	0.0	0.0	0.0	2.0	5.0
89	-29.0	-8.0	-4.0	-2.0	0.0	-3.0	-5.0	-11.0
90	17.0	10.0	6.0	1.0	-2.0	1.0	0.0	8.0
91	-14.0	-8.0	-6.0	-3.0	-1.0	-4.0	-3.0	1.0
92	13.0	3.0	1.0	1.0	0.0	0.0	0.0	-6.0
93	-12.0	1.0	1.0	1.0	-3.0	-1.0	-1.0	-2.0
94	6.0	-7.0	-5.0	-3.0	1.0	-3.0	-3.0	-7.0
95	12.0	2.0	2.0	-1.0	-1.0	-1.0	-1.0	-3.0
96	-16.0	-3.0	-2.0	-2.0	-3.0	-1.0	-3.0	-8.0
97	17.0	1.0	1.0	-1.0	1.0	0.0	1.0	3.0
98	4.0	-3.0	-1.0	0.0	-3.0	-2.0	0.0	-8.0
99	-11.0	0.0	0.0	0.0	-1.0	-1.0	-3.0	3.0
100	14.0	8.0	5.0	0.0	1.0	-2.0	-1.0	-2.0
101	28.0	7.0	0.0	0.0	2.0	0.0	2.0	5.0
102	-27.0	-9.0	-2.0	-1.0	-2.0	-1.0	-2.0	-2.0
103	-32.0	-11.0	-7.0	-2.0	-2.0	-2.0	-2.0	-8.0
104	5.0	-2.0	0.0	-1.0	-1.0	2.0	-1.0	-1.0
105	11.0	2.0	-2.0	1.0	3.0	-1.0	3.0	6.0
106	-8.0	2.0	-1.0	-1.0	-3.0	-2.0	-3.0	-4.0
107	1.0	3.0	1.0	-1.0	-1.0	-2.0	1.0	2.0
108	-5.0	-3.0	-2.0	-2.0	-3.0	-2.0	-1.0	-2.0
109	14.0	1.0	-2.0	0.0	0.0	1.0	0.0	3.0
110	21.0	2.0	-4.0	-2.0	-1.0	0.0	1.0	6.0
111	-19.0	-5.0	-3.0	-1.0	0.0	-3.0	-2.0	-5.0
112	5.0	3.0	0.0	-3.0	-5.0	1.0	-1.0	1.0
113	36.0	7.0	2.0	1.0	3.0	0.0	2.0	0.0
114	-75.0	-24.0	-5.0	-4.0	2.0	-3.0	-7.0	-13.0
115	8.0	3.0	0.0	-3.0	-3.0	-2.0	2.0	15.0
116	3.0	-1.0	0.0	3.0	2.0	1.0	0.0	0.0
117	-1.0	-1.0	0.0	0.0	-2.0	-1.0	-3.0	-6.0
118	28.0	8.0	0.0	-1.0	-7.0	0.0	0.0	2.0
119	-6.0	-4.0	-2.0	-2.0	1.0	-4.0	-4.0	-7.0
120	-22.0	-7.0	-1.0	-2.0	4.0	-1.0	-1.0	2.0
121	11.0	3.0	0.0	1.0	-1.0	-1.0	-1.0	2.0
122	-4.0	0.0	-1.0	-2.0	-3.0	0.0	-1.0	-5.0
123	1.0	-4.0	-3.0	-3.0	-4.0	-1.0	-1.0	-1.0
124	19.0	8.0	-2.0	1.0	1.0	-2.0	-1.0	2.0
125	-5.0	3.0	2.0	2.0	2.0	0.0	0.0	-3.0
126	-15.0	-23.0	-7.0	-4.0	-4.0	-3.0	-8.0	-18.0
127	4.0	1.0	-1.0	1.0	3.0	1.0	0.0	3.0
128	5.0	-3.0	2.0	0.0	0.0	-2.0	-1.0	0.0
129	2.0	1.0	-1.0	-3.0	-2.0	-2.0	-1.0	2.0
130	20.0	9.0	1.0	-2.0	-7.0	-4.0	-2.0	-2.0
131	-3.0	-5.0	-2.0	-1.0	4.0	-2.0	-1.0	-4.0
132	1.0	-1.0	-3.0	0.0	-1.0	-1.0	0.0	-1.0
133	-23.0	-6.0	-1.0	-4.0	1.0	0.0	-2.0	-3.0
134	26.0	9.0	1.0	0.0	1.0	0.0	0.0	5.0
135	-3.0	-4.0	-2.0	-4.0	-7.0	-3.0	-3.0	-9.0
136	-6.0	2.0	0.0	-1.0	-1.0	2.0	2.0	6.0
137	1.0	-8.0	-5.0	0.0	1.0	-3.0	-2.0	-5.0
138	7.0	4.0	-1.0	0.0	0.0	-3.0	-1.0	-1.0
139	1.0	8.0	1.0	1.0	-2.0	1.0	-1.0	-2.0
140	9.0	-12.0	-3.0	-1.0	1.0	-2.0	-2.0	-3.0
141	-24.0	-7.0	-4.0	-5.0	-15.0	0.0	-1.0	-5.0
142	38.0	16.0	2.0	2.0	10.0	-2.0	1.0	7.0
143	-37.0	-16.0	-1.0	-1.0	0.0	-1.0	-1.0	-5.0
144	-32.0	-7.0	-1.0	-2.0	-2.0	-3.0	-1.0	-10.0
145	-3.0	2.0	0.0	1.0	-1.0	1.0	-2.0	3.0
146	-19.0	-5.0	-2.0	-3.0	-3.0	0.0	-1.0	-5.0
147	36.0	6.0	-1.0	-1.0	0.0	0.0	1.0	3.0
148	-4.0	-6.0	1.0	-2.0	-2.0	-3.0	-3.0	-10.0
149	-23.0	-3.0	0.0	-1.0	1.0	-2.0	-2.0	-4.0
150	47.0	18.0	4.0	1.0	-2.0	2.0	2.0	9.0
151	-60.0	-24.0	-5.0	-5.0	-2.0	-1.0	-7.0	-16.0
152	15.0	5.0	-3.0	0.0	-2.0	-1.0	0.0	3.0
153	2.0	4.0	0.0	-1.0	4.0	0.0	2.0	10.0
154	15.0	4.0	-1.0	-2.0	-2.0	0.0	2.0	5.0
155	-5.0	0.0	-1.0	-1.0	-11.0	-1.0	-1.0	-3.0
156	12.0	4.0	0.0	-2.0	1.0	-1.0	-1.0	1.0
157	-18.0	-7.0	0.0	1.0	-3.0	0.0	3.0	7.0
158	1.0	-8.0	-3.0	-2.0	0.0	1.0	-1.0	-3.0
159	8.0	-6.0	-3.0	-2.0	0.0	-3.0	0.0	8.0
160	10.0	9.0	2.0	-1.0	-2.0	1.0	-1.0	-3.0
161	-3.0	0.0	0.0	1.0	5.0	-2.0	-4.0	0.0
162	-5.0	-4.0	-1.0	-1.0	-2.0	1.0	-2.0	1.0
163	24.0	13.0	0.0	1.0	2.0	-1.0	-1.0	1.0
164	16.0	-9.0	-6.0	-2.0	-5.0	0.0	3.0	4.0
165	-22.0	0.0	-2.0	-1.0	-3.0	-3.0	-4.0	-11.0
166	-21.0	-4.0	0.0	2.0	-1.0	0.0	0.0	-2.0
167	18.0	8.0	2.0	-2.0	-2.0	-2.0	0.0	-5.0
168	5.0	5.0	2.0	-2.0	0.0	0.0	-1.0	4.0
169	-16.0	-11.0	-4.0	-1.0	-5.0	-3.0	-3.0	-11.0
170	-17.0	3.0	-1.0	-1.0	0.0	0.0	2.0	3.0
171	-2.0	-5.0	-2.0	-2.0	-2.0	-1.0	-2.0	-9.0
172	33.0	6.0	-1.0	-1.0	3.0	0.0	0.0	5.0
173	-5.0	-6.0	-4.0	-4.0	0.0	0.0	-2.0	-8.0
174	-20.0	-8.0	-2.0	-1.0	-1.0	-2.0	-3.0	-2.0
175	22.0	14.0	5.0	2.0	0.0	2.0	2.0	7.0
176	-3.0	0.0	-1.0	0.0	1.0	1.0	-2.0	1.0
177	19.0	1.0	-1.0	-1.0	-2.0	-1.0	-2.0	-3.0
178	1.0	-8.0	-4.0	-1.0	1.0	-3.0	-4.0	-4.0
179	-1.0	4.0	-1.0	0.0	-7.0	-1.0	3.0	8.0
180	-32.0	-3.0	3.0	1.0	7.0	-1.0	1.0	-4.0
181	16.0	4.0	-1.0	-2.0	-1.0	0.0	-1.0	3.0
182	14.0	2.0	-1.0	-2.0	-4.0	-3.0	0.0	1.0
183	-35.0	-7.0	-3.0	-2.0	-2.0	-1.0	0.0	6.0
184	10.0	6.0	1.0	1.0	-1.0	1.0	-1.0	2.0
185	5.0	3.0	0.0	1.0	0.0	-2.0	-2.0	0.0
186	-15.0	-6.0	0.0	-1.0	-2.0	-1.0	-1.0	2.0
187	29.0	2.0	0.0	-1.0	0.0	0.0	-2.0	4.0
188	-2.0	-5.0	-5.0	0.0	-2.0	1.0	2.0	0.0
189	8.0	6.0	4.0	0.0	0.0	2.0	3.0	7.0
190	-15.0	-3.0	-4.0	-2.0	-2.0	-2.0	-1.0	1.0
191	17.0	4.0	-1.0	0.0	1.0	-2.0	-3.0	-4.0
192	-14.0	-12.0	-6.0	-3.0	-6.0	-2.0	-3.0	-7.0
193	13.0	1.0	0.0	1.0	1.0	2.0	2.0	3.0
194	1.0	-2.0	-2.0	-4.0	-5.0	-1.0	0.0	-3.0
195	-6.0	5.0	1.0	0.0	7.0	0.0	0.0	-1.0
196	0.0	-5.0	0.0	-2.0	-3.0	-1.0	0.0	-1.0
197	-27.0	-9.0	-3.0	-1.0	-1.0	0.0	-1.0	-2.0
198	8.0	4.0	0.0	-2.0	-2.0	-2.0	-5.0	-4.0
199	8.0	-5.0	-2.0	-4.0	-6.0	-1.0	-5.0	-4.0
200	-17.0	-2.0	2.0	2.0	5.0	0.0	1.0	2.0
201	-2.0	-11.0	-5.0	-3.0	-2.0	-1.0	-2.0	-3.0
202	14.0	0.0	-1.0	0.0	0.0	0.0	-1.0	0.0
203	11.0	-1.0	-2.0	-2.0	-1.0	-1.0	2.0	-1.0
204	-10.0	3.0	1.0	1.0	0.0	0.0	-1.0	-2.0
205	-17.0	-3.0	-1.0	-1.0	-2.0	1.0	-1.0	-2.0
206	-1.0	-2.0	-1.0	-1.0	0.0	-2.0	-2.0	0.0
207	-7.0	4.0	-1.0	-1.0	-4.0	-2.0	-1.0	-1.0
208	0.0	-2.0	-1.0	-1.0	-2.0	-2.0	-1.0	-3.0
209	5.0	3.0	3.0	0.0	2.0	-2.0	2.0	1.0
210	12.0	-5.0	-1.0	-1.0	-2.0	-2.0	-2.0	-5.0
211	7.0	-2.0	-2.0	-1.0	-1.0	-1.0	-3.0	-2.0
212	-49.0	-4.0	-1.0	0.0	-2.0	-2.0	-1.0	-8.0
213	23.0	-4.0	-3.0	-2.0	-6.0	-1.0	-3.0	1.0
214	-2.0	5.0	0.0	-1.0	1.0	1.0	3.0	11.0
215	-48.0	-11.0	-2.0	-2.0	3.0	-1.0	-2.0	-11.0
216	28.0	2.0	0.0	-1.0	-9.0	-1.0	-1.0	3.0
217	6.0	10.0	2.0	1.0	1.0	-2.0	2.0	1.0
218	-41.0	-18.0	-5.0	-3.0	-5.0	-3.0	-1.0	-5.0
219	8.0	2.0	-2.0	-1.0	2.0	-1.0	-1.0	3.0
220	11.0	1.0	0.0	-1.0	2.0	-2.0	0.0	2.0
221	-10.0	0.0	5.0	0.0	-1.0	0.0	0.0	0.0
222	6.0	2.0	1.0	-1.0	-2.0	0.0	-5.0	-5.0
223	-16.0	7.0	2.0	0.0	-4.0	-2.0	-1.0	-1.0
224	-23.0	-13.0	-1.0	-1.0	-1.0	-1.0	-1.0	-3.0
225	10.0	-5.0	-4.0	-2.0	-2.0	-2.0	-1.0	1.0
226	-5.0	2.0	-1.0	-2.0	-2.0	-4.0	0.0	-1.0
227	9.0	-4.0	-1.0	0.0	4.0	2.0	-2.0	3.0
228	14.0	11.0	0.0	-1.0	2.0	1.0	-1.0	2.0
229	-13.0	-5.0	-1.0	-2.0	-1.0	0.0	0.0	-7.0
230	-2.0	-4.0	0.0	0.0	1.0	-1.0	-2.0	-6.0
231	19.0	7.0	0.0	0.0	-2.0	-2.0	-1.0	1.0
232	-20.0	-5.0	-1.0	-1.0	-2.0	-1.0	-1.0	-2.0
233	18.0	4.0	0.0	-1.0	0.0	0.0	-2.0	-2.0
234	-36.0	-1.0	2.0	-1.0	-2.0	-1.0	-1.0	-2.0
235	-18.0	-19.0	-9.0	-3.0	-3.0	-4.0	-5.0	-15.0
236	7.0	4.0	4.0	0.0	2.0	1.0	0.0	1.0
237	19.0	8.0	1.0	0.0	1.0	0.0	1.0	7.0
238	-14.0	0.0	1.0	0.0	2.0	2.0	2.0	3.0
239	-14.0	-16.0	-3.0	-2.0	-2.0	-1.0	0.0	-5.0
240	22.0	17.0	0.0	-4.0	-3.0	0.0	0.0	3.0
241	5.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0
242	31.0	9.0	0.0	-1.0	-2.0	-2.0	-3.0	-2.0
243	-40.0	-9.0	-1.0	-2.0	-2.0	-3.0	-4.0	-2.0
244	4.0	-7.0	-3.0	-1.0	2.0	-1.0	-1.0	-4.0
