	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	8.0	0.0	-4.0	-3.0	-3.0	-3.0	-1.0	-4.0
2	50.0	-5.0	-7.0	-7.0	-3.0	-7.0	-1.0	-6.0
3	-13.0	3.0	0.0	1.0	1.0	4.0	4.0	7.0
4	-19.0	5.0	7.0	5.0	0.0	3.0	0.0	3.0
5	9.0	1.0	1.0	1.0	2.0	-1.0	-3.0	0.0
6	17.0	-8.0	-8.0	-8.0	-7.0	-5.0	-5.0	-9.0
7	9.0	0.0	-1.0	-4.0	2.0	2.0	1.0	2.0
8	-39.0	2.0	3.0	2.0	-4.0	4.0	0.0	1.0
9	-7.0	-2.0	2.0	1.0	-3.0	-1.0	-3.0	-2.0
10	26.0	-5.0	-4.0	-4.0	3.0	-5.0	-3.0	-7.0
11	11.0	-7.0	-6.0	0.0	-1.0	-1.0	3.0	-4.0
12	-60.0	14.0	7.0	5.0	1.0	4.0	2.0	3.0
13	-12.0	-21.0	-10.0	-4.0	1.0	-3.0	-4.0	-5.0
14	32.0	-5.0	-2.0	0.0	-1.0	-3.0	-2.0	6.0
15	-13.0	-23.0	1.0	-1.0	1.0	-1.0	2.0	11.0
16	4.0	15.0	0.0	-1.0	-1.0	-1.0	-2.0	-3.0
17	10.0	3.0	-5.0	-7.0	-7.0	-2.0	6.0	-35.0
18	-13.0	-4.0	-9.0	-8.0	-3.0	-4.0	0.0	-4.0
19	6.0	11.0	0.0	2.0	1.0	2.0	-4.0	12.0
20	-3.0	1.0	4.0	3.0	0.0	0.0	-2.0	-2.0
21	0.0	-4.0	2.0	1.0	-2.0	-3.0	-2.0	-5.0
22	29.0	3.0	0.0	-3.0	-1.0	1.0	2.0	1.0
23	-10.0	4.0	3.0	2.0	1.0	-1.0	-2.0	-9.0
24	-35.0	-13.0	-2.0	-1.0	-1.0	0.0	-1.0	-5.0
25	22.0	-8.0	-8.0	-6.0	-5.0	-6.0	-5.0	0.0
26	40.0	-6.0	-9.0	-9.0	-1.0	-7.0	-3.0	-8.0
27	-25.0	1.0	2.0	1.0	3.0	3.0	2.0	4.0
28	-6.0	7.0	6.0	5.0	2.0	3.0	3.0	10.0
29	-18.0	-4.0	-10.0	-6.0	-6.0	-5.0	-6.0	-11.0
30	6.0	-19.0	-1.0	-4.0	-2.0	-5.0	-5.0	-11.0
31	22.0	9.0	-1.0	-2.0	0.0	0.0	2.0	8.0
32	-50.0	-6.0	5.0	5.0	-1.0	6.0	-1.0	-14.0
33	10.0	2.0	-3.0	-3.0	-3.0	-4.0	-9.0	14.0
34	32.0	-24.0	-14.0	-8.0	-1.0	-6.0	0.0	-1.0
35	17.0	10.0	1.0	-1.0	0.0	-1.0	-2.0	-4.0
36	-33.0	11.0	4.0	7.0	1.0	3.0	2.0	-2.0
37	32.0	-10.0	-6.0	-4.0	-4.0	-2.0	1.0	-3.0
38	10.0	-3.0	-5.0	-4.0	-2.0	-7.0	-7.0	-12.0
39	0.0	3.0	4.0	2.0	1.0	3.0	5.0	13.0
40	-21.0	4.0	1.0	1.0	-3.0	-1.0	-3.0	5.0
41	14.0	5.0	3.0	1.0	1.0	-2.0	-1.0	-4.0
42	28.0	-2.0	-7.0	-4.0	7.0	-2.0	-1.0	3.0
43	-38.0	-9.0	-1.0	-2.0	-7.0	-1.0	-1.0	-3.0
44	-1.0	10.0	6.0	2.0	1.0	2.0	-3.0	14.0
45	5.0	-5.0	1.0	0.0	1.0	-1.0	0.0	-7.0
46	7.0	5.0	2.0	-4.0	-3.0	-3.0	0.0	-7.0
47	-5.0	-4.0	-6.0	-1.0	-4.0	-1.0	1.0	-32.0
48	-10.0	-10.0	7.0	-1.0	-2.0	2.0	1.0	-1.0
49	-7.0	-1.0	-3.0	-2.0	3.0	-4.0	-3.0	-5.0
50	1.0	-9.0	-5.0	-1.0	-2.0	-3.0	-6.0	1.0
51	-5.0	-3.0	-11.0	-5.0	-2.0	-2.0	-3.0	1.0
52	3.0	3.0	-4.0	-2.0	-1.0	1.0	2.0	7.0
53	5.0	19.0	-1.0	1.0	-2.0	3.0	2.0	0.0
54	21.0	-34.0	1.0	-2.0	-2.0	-2.0	1.0	-17.0
55	-24.0	2.0	-1.0	2.0	2.0	1.0	1.0	2.0
56	-6.0	1.0	-3.0	-2.0	-1.0	-2.0	-2.0	-1.0
57	12.0	5.0	7.0	1.0	1.0	0.0	-3.0	-2.0
58	-19.0	1.0	-9.0	-2.0	-2.0	0.0	2.0	2.0
59	3.0	-2.0	4.0	3.0	1.0	1.0	-3.0	4.0
60	-3.0	1.0	-2.0	-1.0	-5.0	-5.0	-4.0	-5.0
61	7.0	-5.0	1.0	0.0	6.0	1.0	-2.0	-9.0
62	17.0	11.0	-1.0	-4.0	-5.0	-3.0	0.0	6.0
63	19.0	-1.0	-1.0	0.0	-1.0	-2.0	-2.0	4.0
64	-44.0	-3.0	1.0	1.0	2.0	1.0	-5.0	36.0
65	-33.0	-15.0	-3.0	-2.0	-4.0	-1.0	0.0	-6.0
66	21.0	14.0	-6.0	-3.0	0.0	1.0	-4.0	-6.0
67	-15.0	-5.0	4.0	1.0	-1.0	0.0	0.0	6.0
68	10.0	7.0	4.0	0.0	1.0	1.0	3.0	-7.0
69	29.0	22.0	5.0	1.0	-1.0	-1.0	1.0	4.0
70	-35.0	-17.0	-5.0	-3.0	0.0	2.0	0.0	2.0
71	-6.0	5.0	-4.0	-7.0	-3.0	0.0	1.0	-6.0
72	-4.0	-3.0	-6.0	0.0	0.0	0.0	1.0	-8.0
73	2.0	-2.0	-1.0	0.0	-2.0	-3.0	-2.0	-3.0
74	1.0	8.0	2.0	2.0	0.0	1.0	4.0	-1.0
75	1.0	1.0	4.0	1.0	2.0	-1.0	-1.0	-3.0
76	3.0	-3.0	0.0	-1.0	-4.0	-2.0	-1.0	-8.0
77	0.0	-4.0	-6.0	-5.0	-3.0	-3.0	-5.0	-1.0
78	13.0	4.0	1.0	-2.0	-3.0	-1.0	-2.0	2.0
79	-12.0	-8.0	0.0	1.0	-3.0	-3.0	-1.0	-1.0
80	15.0	3.0	-1.0	-4.0	8.0	5.0	6.0	6.0
81	-17.0	-17.0	-2.0	0.0	-3.0	-5.0	-9.0	22.0
82	25.0	16.0	-2.0	-2.0	-1.0	-2.0	-2.0	5.0
83	-19.0	-29.0	-6.0	-2.0	1.0	-1.0	0.0	-8.0
84	15.0	25.0	14.0	3.0	-2.0	0.0	0.0	0.0
85	37.0	4.0	-2.0	-2.0	-3.0	1.0	5.0	-1.0
86	-42.0	-8.0	2.0	1.0	2.0	-1.0	0.0	-7.0
87	21.0	-28.0	-10.0	-6.0	1.0	-2.0	-5.0	-1.0
88	-9.0	-1.0	-7.0	-1.0	-2.0	-2.0	-1.0	-12.0
89	-8.0	-7.0	1.0	-2.0	0.0	-1.0	0.0	-13.0
90	18.0	28.0	4.0	3.0	-1.0	-1.0	2.0	3.0
91	10.0	3.0	2.0	1.0	0.0	0.0	-1.0	1.0
92	-38.0	-18.0	-3.0	-1.0	-3.0	-3.0	-3.0	-12.0
93	15.0	0.0	-1.0	-1.0	-2.0	-1.0	-3.0	-4.0
94	8.0	-8.0	0.0	0.0	2.0	0.0	4.0	6.0
95	-20.0	7.0	-1.0	-2.0	-4.0	0.0	-5.0	-8.0
96	20.0	0.0	-2.0	-4.0	-2.0	-2.0	-1.0	-4.0
97	-5.0	1.0	-5.0	-3.0	-1.0	0.0	1.0	0.0
98	13.0	-4.0	0.0	0.0	3.0	-2.0	-1.0	7.0
99	-17.0	7.0	3.0	2.0	1.0	1.0	9.0	-38.0
100	16.0	-4.0	-8.0	-2.0	-3.0	-2.0	1.0	-1.0
101	-25.0	-20.0	1.0	-1.0	1.0	0.0	3.0	-10.0
102	35.0	4.0	3.0	1.0	-2.0	-1.0	-5.0	1.0
103	-16.0	19.0	3.0	0.0	-1.0	-1.0	-2.0	-5.0
104	-1.0	-7.0	-2.0	-3.0	-3.0	-1.0	1.0	-2.0
105	-12.0	-33.0	-13.0	-5.0	-3.0	-4.0	-4.0	-6.0
106	17.0	6.0	3.0	0.0	-4.0	-1.0	0.0	-10.0
107	15.0	-2.0	3.0	1.0	-2.0	1.0	-1.0	18.0
108	-7.0	-1.0	1.0	2.0	0.0	0.0	-1.0	-6.0
109	17.0	18.0	-1.0	-3.0	-2.0	-1.0	-1.0	5.0
