	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3.0	-1.0	1.0	1.0	1.0	1.0	0.0	0.0
2	-4.0	1.0	1.0	0.0	0.0	1.0	2.0	3.0
3	4.0	-3.0	-3.0	-3.0	-3.0	-3.0	-2.0	-8.0
4	0.0	-2.0	-3.0	-2.0	-2.0	-1.0	0.0	0.0
5	-9.0	3.0	1.0	-2.0	-1.0	-1.0	-1.0	-3.0
6	5.0	-4.0	-1.0	0.0	0.0	-1.0	-1.0	-2.0
7	-11.0	-1.0	-1.0	0.0	0.0	1.0	2.0	1.0
8	6.0	2.0	3.0	0.0	-1.0	0.0	1.0	2.0
9	-3.0	-7.0	-7.0	-2.0	-2.0	-3.0	-1.0	3.0
10	-46.0	-6.0	-2.0	-3.0	-2.0	-1.0	-3.0	-9.0
11	18.0	-1.0	-1.0	0.0	0.0	-2.0	-3.0	2.0
12	-12.0	2.0	1.0	-2.0	-2.0	-4.0	-4.0	-5.0
13	-4.0	0.0	5.0	3.0	-1.0	1.0	5.0	1.0
14	25.0	-2.0	-8.0	-3.0	-2.0	-1.0	-9.0	13.0
15	6.0	5.0	5.0	1.0	1.0	2.0	3.0	0.0
16	-12.0	-3.0	-4.0	-4.0	1.0	-2.0	0.0	-2.0
17	6.0	-1.0	0.0	0.0	0.0	-1.0	-3.0	3.0
18	28.0	1.0	-1.0	1.0	-1.0	2.0	3.0	2.0
19	-42.0	-9.0	-2.0	0.0	-1.0	-1.0	-2.0	-7.0
20	22.0	5.0	-2.0	-2.0	-1.0	-1.0	-1.0	3.0
21	13.0	-2.0	-2.0	-3.0	-3.0	-1.0	1.0	-3.0
22	7.0	-4.0	-2.0	-2.0	0.0	-2.0	1.0	0.0
23	-19.0	-5.0	-3.0	-3.0	0.0	-1.0	-2.0	-1.0
24	1.0	-2.0	0.0	0.0	-1.0	0.0	0.0	-2.0
25	-6.0	-2.0	0.0	-2.0	-2.0	-2.0	-1.0	-5.0
26	5.0	1.0	-1.0	-1.0	0.0	0.0	0.0	3.0
27	-40.0	-14.0	-6.0	-2.0	-2.0	-3.0	-7.0	-13.0
28	21.0	8.0	1.0	-2.0	-2.0	-1.0	1.0	4.0
29	-24.0	-13.0	-4.0	0.0	-1.0	0.0	-1.0	-4.0
30	22.0	4.0	-3.0	-2.0	-3.0	-3.0	0.0	1.0
31	13.0	7.0	1.0	3.0	2.0	1.0	1.0	2.0
32	5.0	-6.0	-8.0	-2.0	-2.0	0.0	2.0	4.0
33	-44.0	-6.0	1.0	-1.0	-2.0	-2.0	-1.0	-6.0
34	15.0	1.0	-5.0	-3.0	0.0	-1.0	-2.0	-1.0
35	-16.0	-10.0	-2.0	-1.0	-2.0	2.0	4.0	0.0
36	6.0	-10.0	-4.0	-2.0	0.0	-1.0	9.0	-19.0
37	30.0	22.0	4.0	-1.0	1.0	1.0	2.0	5.0
38	-19.0	-6.0	-2.0	1.0	-2.0	-2.0	-7.0	-2.0
39	-16.0	-4.0	-2.0	-3.0	-1.0	-3.0	-2.0	-7.0
40	-24.0	0.0	1.0	0.0	0.0	0.0	-1.0	-2.0
41	19.0	-1.0	-1.0	-3.0	-2.0	0.0	-3.0	5.0
42	4.0	0.0	3.0	-1.0	-1.0	0.0	-1.0	0.0
43	11.0	9.0	0.0	-1.0	0.0	-1.0	-1.0	3.0
44	-6.0	-4.0	-2.0	0.0	-2.0	-3.0	-4.0	-1.0
45	5.0	-1.0	-3.0	-1.0	0.0	-3.0	-1.0	-2.0
46	-7.0	2.0	1.0	1.0	-1.0	1.0	-1.0	2.0
47	14.0	-1.0	0.0	-2.0	-4.0	-4.0	-2.0	3.0
48	-20.0	-7.0	-3.0	-3.0	0.0	-2.0	-5.0	-3.0
49	0.0	-10.0	-1.0	0.0	-1.0	0.0	1.0	3.0
50	11.0	7.0	-1.0	-2.0	-2.0	0.0	2.0	-4.0
51	33.0	1.0	-1.0	1.0	1.0	1.0	4.0	10.0
52	-45.0	1.0	1.0	-1.0	-1.0	-4.0	-12.0	-13.0
53	19.0	-8.0	-5.0	0.0	-1.0	-2.0	-1.0	5.0
54	-50.0	-13.0	6.0	2.0	-1.0	-3.0	-11.0	-11.0
55	31.0	8.0	-1.0	0.0	0.0	0.0	3.0	10.0
56	12.0	3.0	-2.0	0.0	-2.0	1.0	-2.0	4.0
57	-5.0	2.0	0.0	-1.0	0.0	-2.0	-2.0	-3.0
58	10.0	-5.0	-4.0	-2.0	-1.0	-1.0	-2.0	-4.0
59	-4.0	-1.0	1.0	-1.0	-2.0	-1.0	-3.0	-7.0
60	5.0	-1.0	0.0	-2.0	-2.0	-1.0	-1.0	3.0
61	-9.0	4.0	-1.0	1.0	-1.0	-3.0	-6.0	-4.0
62	8.0	-1.0	1.0	1.0	1.0	1.0	3.0	2.0
63	3.0	3.0	2.0	-2.0	0.0	1.0	-1.0	-1.0
64	-16.0	-7.0	-4.0	-3.0	0.0	-3.0	-1.0	-7.0
65	4.0	-3.0	-3.0	-1.0	-2.0	0.0	-6.0	14.0
66	-1.0	2.0	-1.0	-2.0	-1.0	-3.0	-1.0	-2.0
67	-8.0	-5.0	-2.0	0.0	-1.0	1.0	-1.0	-1.0
68	18.0	4.0	4.0	1.0	2.0	4.0	3.0	11.0
69	-6.0	-2.0	-3.0	-3.0	-3.0	-2.0	2.0	-1.0
70	-14.0	0.0	-5.0	-2.0	-3.0	-3.0	1.0	-4.0
71	-20.0	4.0	1.0	-1.0	0.0	0.0	-1.0	1.0
72	17.0	-18.0	-7.0	-3.0	-1.0	-3.0	-1.0	-3.0
73	12.0	25.0	5.0	-1.0	0.0	1.0	-1.0	-5.0
74	-34.0	-16.0	-5.0	-1.0	-1.0	0.0	3.0	0.0
75	-14.0	-3.0	-3.0	-1.0	-2.0	-4.0	-2.0	-6.0
76	5.0	7.0	5.0	1.0	-2.0	1.0	1.0	4.0
77	7.0	-1.0	-2.0	0.0	-1.0	0.0	3.0	4.0
78	9.0	-1.0	-1.0	-2.0	0.0	-2.0	-1.0	2.0
79	-3.0	1.0	1.0	-3.0	-2.0	-1.0	-7.0	-7.0
80	-7.0	-3.0	-1.0	-2.0	-1.0	-2.0	-1.0	-1.0
81	6.0	-3.0	-3.0	0.0	-1.0	1.0	6.0	1.0
82	4.0	3.0	4.0	0.0	-1.0	1.0	3.0	2.0
83	-25.0	-7.0	-1.0	0.0	0.0	-1.0	-1.0	-5.0
84	21.0	8.0	0.0	0.0	-1.0	-1.0	-3.0	2.0
85	-5.0	-2.0	-1.0	-1.0	-1.0	-2.0	-3.0	-9.0
86	-10.0	-2.0	-4.0	-3.0	-1.0	1.0	1.0	3.0
87	15.0	0.0	-2.0	-2.0	-1.0	-2.0	-4.0	-3.0
88	17.0	-5.0	0.0	1.0	0.0	1.0	3.0	6.0
89	-32.0	2.0	4.0	1.0	1.0	-1.0	-2.0	-9.0
90	25.0	-1.0	-2.0	-2.0	-1.0	0.0	1.0	1.0
91	-13.0	4.0	1.0	-2.0	-4.0	-3.0	-5.0	-6.0
