	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	-28.0	31.0	14.0	8.0	1.0	4.0	2.0	8.0
2	29.0	-27.0	-16.0	-8.0	-4.0	-7.0	-7.0	-19.0
3	15.0	3.0	-7.0	-8.0	-1.0	-6.0	-4.0	-4.0
4	-19.0	7.0	0.0	2.0	2.0	4.0	2.0	3.0
5	-18.0	7.0	4.0	4.0	2.0	4.0	1.0	12.0
6	12.0	0.0	5.0	1.0	-2.0	-3.0	0.0	5.0
7	21.0	-10.0	-14.0	-9.0	-5.0	-9.0	-4.0	-16.0
8	-17.0	2.0	2.0	0.0	0.0	2.0	1.0	2.0
9	1.0	4.0	7.0	6.0	2.0	4.0	-1.0	5.0
10	10.0	8.0	0.0	-3.0	-1.0	-1.0	-1.0	1.0
11	35.0	-12.0	-9.0	-9.0	-6.0	-6.0	-4.0	-8.0
12	-38.0	3.0	7.0	1.0	2.0	2.0	0.0	4.0
13	20.0	12.0	5.0	5.0	-2.0	2.0	2.0	6.0
14	-8.0	-15.0	-5.0	-2.0	0.0	-4.0	-4.0	-9.0
15	-3.0	4.0	-3.0	-2.0	0.0	-4.0	2.0	1.0
16	5.0	-11.0	-1.0	1.0	0.0	-1.0	-2.0	-2.0
17	27.0	8.0	1.0	0.0	-1.0	3.0	1.0	9.0
18	-1.0	-8.0	-6.0	-4.0	-2.0	-3.0	-1.0	-4.0
19	34.0	14.0	4.0	-2.0	-2.0	-5.0	-4.0	-7.0
20	-6.0	-1.0	3.0	4.0	-2.0	1.0	3.0	5.0
21	-25.0	-6.0	0.0	0.0	-2.0	0.0	-2.0	-3.0
22	12.0	-3.0	-5.0	-1.0	-1.0	0.0	-3.0	1.0
23	0.0	-11.0	-6.0	-3.0	-1.0	-1.0	1.0	1.0
24	-9.0	-9.0	-5.0	-3.0	0.0	-1.0	-3.0	0.0
25	43.0	-7.0	-11.0	-9.0	-4.0	-6.0	-5.0	-4.0
26	-1.0	-4.0	-6.0	-4.0	2.0	-1.0	1.0	-1.0
27	-29.0	8.0	8.0	5.0	1.0	4.0	1.0	7.0
28	-18.0	0.0	3.0	3.0	-2.0	-1.0	0.0	0.0
29	86.0	13.0	-2.0	-3.0	0.0	-4.0	2.0	7.0
30	-68.0	-36.0	-14.0	-7.0	-4.0	-5.0	-6.0	-21.0
31	-8.0	37.0	12.0	5.0	3.0	4.0	3.0	13.0
