	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	72.0	-7.0	-14.0	-9.0	7.0	-4.0	8.0	-1.0
2	-40.0	9.0	6.0	2.0	0.0	3.0	1.0	9.0
3	-90.0	-13.0	3.0	1.0	-7.0	-1.0	-14.0	-13.0
4	36.0	3.0	-2.0	-3.0	-1.0	-2.0	-5.0	-2.0
5	-26.0	-29.0	-17.0	-10.0	-2.0	-9.0	0.0	-20.0
6	17.0	7.0	0.0	0.0	-1.0	1.0	2.0	10.0
7	-9.0	19.0	11.0	6.0	-5.0	4.0	-3.0	6.0
8	11.0	7.0	7.0	4.0	-1.0	0.0	1.0	1.0
9	42.0	-15.0	-18.0	-11.0	-3.0	-9.0	-3.0	-12.0
10	-49.0	-21.0	-2.0	-4.0	0.0	-2.0	2.0	6.0
11	-78.0	-12.0	-3.0	-1.0	-6.0	-2.0	-10.0	-24.0
12	66.0	7.0	-3.0	1.0	2.0	1.0	4.0	14.0
13	35.0	12.0	-1.0	0.0	4.0	-2.0	6.0	6.0
14	-31.0	-4.0	-2.0	-2.0	-1.0	0.0	-1.0	1.0
15	2.0	10.0	8.0	2.0	-6.0	0.0	-6.0	2.0
16	22.0	-5.0	2.0	2.0	2.0	-2.0	-2.0	-4.0
17	81.0	17.0	5.0	4.0	4.0	1.0	4.0	6.0
18	-70.0	-17.0	-14.0	-5.0	-3.0	0.0	1.0	3.0
19	-51.0	1.0	7.0	4.0	0.0	3.0	-5.0	-3.0
20	37.0	-7.0	-17.0	-9.0	-2.0	-9.0	-10.0	17.0
21	-13.0	-3.0	2.0	-2.0	1.0	3.0	8.0	-1.0
22	37.0	16.0	14.0	7.0	-1.0	2.0	-1.0	-2.0
23	29.0	1.0	-5.0	-2.0	-3.0	2.0	2.0	12.0
24	-13.0	-6.0	4.0	3.0	1.0	2.0	2.0	-16.0
25	-95.0	-11.0	10.0	7.0	-6.0	3.0	-13.0	-18.0
26	74.0	30.0	10.0	6.0	-3.0	2.0	-10.0	30.0
27	24.0	-31.0	-14.0	-7.0	1.0	-10.0	-4.0	-25.0
28	0.0	9.0	-5.0	-6.0	1.0	1.0	9.0	13.0
29	-58.0	4.0	3.0	1.0	-6.0	2.0	-5.0	-1.0
30	-40.0	-11.0	-2.0	0.0	-5.0	1.0	-5.0	-10.0
31	62.0	13.0	9.0	2.0	4.0	-3.0	1.0	-1.0
32	-19.0	-25.0	-14.0	-7.0	-1.0	-4.0	1.0	-19.0
33	-17.0	8.0	2.0	0.0	-2.0	1.0	-3.0	18.0
34	-12.0	10.0	11.0	7.0	-2.0	1.0	1.0	1.0
35	60.0	-6.0	-11.0	-5.0	1.0	-4.0	3.0	4.0
36	-22.0	-15.0	-9.0	-5.0	0.0	-3.0	1.0	-8.0
37	-19.0	12.0	4.0	1.0	-4.0	5.0	-1.0	2.0
38	0.0	0.0	0.0	-2.0	-2.0	0.0	-1.0	-7.0
39	1.0	-9.0	-6.0	-3.0	1.0	-4.0	4.0	-4.0
40	10.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0
41	-11.0	3.0	-1.0	0.0	-5.0	1.0	-3.0	-4.0
42	21.0	9.0	4.0	1.0	1.0	0.0	3.0	3.0
43	8.0	-5.0	-4.0	-2.0	2.0	0.0	4.0	-1.0
44	6.0	4.0	-1.0	0.0	-1.0	0.0	-1.0	4.0
45	-13.0	6.0	3.0	1.0	0.0	0.0	-7.0	13.0
46	-21.0	-9.0	-2.0	-1.0	-3.0	0.0	4.0	-9.0
47	5.0	0.0	-3.0	-5.0	0.0	-1.0	3.0	-5.0
48	2.0	-3.0	-4.0	-3.0	1.0	-2.0	0.0	5.0
49	-15.0	9.0	5.0	2.0	-2.0	0.0	-2.0	-12.0
50	-22.0	-15.0	-2.0	1.0	-2.0	-1.0	-5.0	-8.0
51	27.0	6.0	-5.0	-4.0	-4.0	-2.0	-3.0	5.0
52	13.0	12.0	4.0	3.0	-2.0	-1.0	1.0	7.0
53	-20.0	-10.0	2.0	0.0	-3.0	-2.0	2.0	-3.0
54	-25.0	-17.0	-12.0	-4.0	-2.0	-3.0	-2.0	-13.0
55	19.0	17.0	4.0	0.0	2.0	-2.0	-1.0	2.0
56	22.0	15.0	4.0	6.0	2.0	3.0	3.0	7.0
