	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	12.0	-7.0	-5.0	-4.0	0.0	-3.0	-1.0	-7.0
2	0.0	9.0	1.0	3.0	-1.0	3.0	3.0	8.0
3	-30.0	-4.0	8.0	5.0	-1.0	1.0	-2.0	-1.0
4	-33.0	-7.0	-4.0	-5.0	-1.0	-4.0	-1.0	-11.0
5	16.0	2.0	-1.0	-2.0	2.0	-4.0	0.0	4.0
6	-19.0	-6.0	-1.0	-1.0	-2.0	1.0	3.0	0.0
7	14.0	20.0	-4.0	-1.0	-2.0	0.0	0.0	4.0
8	37.0	-27.0	-6.0	-2.0	-1.0	-4.0	-3.0	-1.0
9	5.0	2.0	-6.0	-7.0	-1.0	-3.0	-1.0	-7.0
10	-7.0	-2.0	1.0	3.0	2.0	3.0	-1.0	2.0
11	-12.0	18.0	3.0	1.0	-4.0	2.0	-1.0	3.0
12	10.0	-4.0	-3.0	-2.0	0.0	-3.0	-2.0	-3.0
13	14.0	-8.0	-8.0	-4.0	-1.0	-3.0	-1.0	-1.0
14	-2.0	6.0	6.0	4.0	0.0	2.0	-1.0	2.0
15	-25.0	-11.0	1.0	2.0	-1.0	2.0	0.0	1.0
16	24.0	6.0	-4.0	-2.0	-1.0	-5.0	-1.0	-3.0
17	21.0	0.0	-4.0	-2.0	-1.0	-2.0	2.0	4.0
18	-41.0	-4.0	-2.0	-1.0	-1.0	0.0	-1.0	-7.0
19	24.0	1.0	3.0	2.0	2.0	1.0	0.0	3.0
20	-31.0	-13.0	-10.0	-6.0	-4.0	-3.0	-2.0	-5.0
21	23.0	7.0	12.0	3.0	0.0	-2.0	-2.0	-4.0
22	-21.0	7.0	0.0	-2.0	-2.0	0.0	1.0	5.0
23	5.0	-5.0	-5.0	-3.0	-3.0	-3.0	-5.0	-6.0
24	26.0	-7.0	-6.0	-2.0	0.0	-1.0	0.0	1.0
25	-35.0	20.0	9.0	4.0	-2.0	4.0	2.0	3.0
26	11.0	4.0	-5.0	-4.0	-5.0	-5.0	-5.0	-1.0
27	28.0	-3.0	-3.0	-6.0	-2.0	-5.0	2.0	2.0
28	-4.0	1.0	1.0	0.0	-1.0	0.0	3.0	1.0
29	-13.0	1.0	3.0	3.0	1.0	5.0	0.0	-1.0
30	-3.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0
31	23.0	-2.0	-8.0	-8.0	-3.0	-6.0	-3.0	-8.0
32	1.0	-2.0	-5.0	-2.0	2.0	1.0	-1.0	-2.0
33	-28.0	-3.0	3.0	4.0	0.0	2.0	-1.0	4.0
34	-7.0	0.0	1.0	1.0	-2.0	0.0	-4.0	-9.0
35	22.0	-9.0	-7.0	-3.0	-1.0	-4.0	-3.0	-4.0
36	-16.0	0.0	-2.0	0.0	0.0	0.0	3.0	1.0
37	-21.0	-6.0	-2.0	0.0	-2.0	-2.0	-4.0	-2.0
38	2.0	-8.0	1.0	2.0	-1.0	-1.0	-2.0	-1.0
39	17.0	7.0	-5.0	-6.0	-1.0	-4.0	1.0	-6.0
40	8.0	2.0	-3.0	-1.0	0.0	0.0	0.0	5.0
41	-45.0	-14.0	-3.0	0.0	0.0	0.0	-2.0	-1.0
42	16.0	-6.0	5.0	1.0	-1.0	0.0	3.0	3.0
43	14.0	6.0	-5.0	-6.0	-5.0	-5.0	-2.0	-1.0
44	-9.0	5.0	-3.0	-2.0	-1.0	-1.0	0.0	-6.0
45	1.0	5.0	-4.0	1.0	-1.0	1.0	0.0	8.0
46	-11.0	-13.0	0.0	0.0	0.0	-1.0	-3.0	-5.0
47	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0
48	9.0	-2.0	0.0	-1.0	1.0	-1.0	-3.0	-1.0
49	-5.0	6.0	1.0	2.0	0.0	2.0	2.0	0.0
50	0.0	3.0	-3.0	-1.0	-3.0	-1.0	-1.0	-3.0
51	-4.0	-15.0	-7.0	-4.0	-2.0	-2.0	-4.0	-5.0
52	1.0	0.0	-3.0	-3.0	-3.0	0.0	-2.0	0.0
53	8.0	1.0	5.0	2.0	-1.0	1.0	1.0	3.0
54	4.0	4.0	-1.0	-2.0	0.0	-2.0	-1.0	1.0
55	10.0	-12.0	-6.0	-4.0	-3.0	-4.0	-4.0	-9.0
56	-47.0	-16.0	-4.0	-1.0	-2.0	-1.0	-1.0	1.0
57	12.0	16.0	8.0	4.0	4.0	1.0	1.0	6.0
58	-37.0	-15.0	-6.0	-2.0	-1.0	-1.0	-3.0	-16.0
59	12.0	8.0	0.0	-2.0	-2.0	-4.0	-5.0	-2.0
60	9.0	-15.0	0.0	0.0	-1.0	2.0	2.0	-1.0
61	-26.0	-9.0	0.0	0.0	0.0	2.0	4.0	0.0
62	29.0	16.0	-1.0	-2.0	0.0	-3.0	-1.0	8.0
63	-5.0	-18.0	-9.0	-3.0	2.0	-1.0	-1.0	-8.0
64	-5.0	2.0	-1.0	0.0	-1.0	-2.0	-3.0	-2.0
65	13.0	14.0	8.0	1.0	-1.0	0.0	2.0	3.0
66	-5.0	-7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-8.0
67	-6.0	-1.0	0.0	-2.0	-3.0	-4.0	-4.0	-6.0
68	16.0	7.0	3.0	0.0	-1.0	-2.0	0.0	4.0
69	-11.0	-6.0	-2.0	0.0	1.0	0.0	1.0	-1.0
70	4.0	7.0	3.0	-2.0	0.0	-1.0	-2.0	1.0
71	12.0	-4.0	-3.0	-1.0	-2.0	-4.0	-1.0	5.0
72	17.0	4.0	2.0	0.0	0.0	-1.0	-3.0	-2.0
73	-20.0	-2.0	1.0	0.0	-1.0	1.0	2.0	-6.0
74	5.0	-1.0	-4.0	-2.0	0.0	0.0	3.0	5.0
75	-22.0	-3.0	4.0	1.0	0.0	-3.0	-3.0	-2.0
76	-10.0	-2.0	-4.0	-2.0	0.0	-1.0	-3.0	-10.0
77	37.0	4.0	7.0	0.0	-2.0	-1.0	1.0	12.0
78	-9.0	-10.0	-4.0	-3.0	-1.0	-1.0	-1.0	0.0
79	-17.0	-7.0	-1.0	-4.0	-4.0	-1.0	0.0	-6.0
80	-27.0	-8.0	-5.0	-2.0	0.0	-2.0	-2.0	-3.0
81	-10.0	-1.0	-2.0	0.0	0.0	0.0	-1.0	1.0
82	20.0	17.0	4.0	0.0	-3.0	0.0	-2.0	0.0
83	19.0	3.0	0.0	0.0	0.0	1.0	1.0	2.0
84	-14.0	4.0	1.0	-1.0	-2.0	-2.0	-3.0	-3.0
85	0.0	-1.0	-1.0	1.0	2.0	0.0	-2.0	-6.0
86	5.0	-8.0	-3.0	1.0	-1.0	-3.0	-2.0	4.0
