	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	11.0	1.0	-2.0	-3.0	0.0	-3.0	-4.0	-1.0
2	1.0	2.0	3.0	0.0	0.0	0.0	1.0	-2.0
3	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0
4	-2.0	-1.0	0.0	1.0	0.0	-1.0	-1.0	-3.0
5	-6.0	-4.0	-1.0	-1.0	-1.0	0.0	3.0	-7.0
6	2.0	-1.0	-1.0	-2.0	0.0	-1.0	-2.0	-1.0
7	-4.0	0.0	0.0	-1.0	-1.0	-2.0	-1.0	-4.0
8	1.0	-1.0	-2.0	-1.0	-1.0	1.0	3.0	5.0
9	-16.0	2.0	0.0	0.0	-2.0	-1.0	-4.0	-3.0
10	10.0	-6.0	-4.0	-1.0	0.0	-2.0	-3.0	6.0
11	22.0	3.0	-3.0	-2.0	-3.0	-1.0	0.0	-2.0
12	7.0	0.0	3.0	0.0	0.0	-1.0	0.0	-4.0
13	11.0	-6.0	-3.0	-2.0	-1.0	-2.0	-2.0	3.0
14	-28.0	-2.0	-3.0	0.0	0.0	-2.0	-2.0	-4.0
15	12.0	12.0	2.0	-2.0	-3.0	-3.0	-2.0	4.0
16	-10.0	-5.0	0.0	-3.0	-1.0	-1.0	-1.0	-5.0
17	18.0	-6.0	-5.0	-3.0	-2.0	-1.0	0.0	4.0
18	-24.0	5.0	2.0	0.0	-1.0	-2.0	-2.0	-9.0
19	3.0	-9.0	-3.0	1.0	-1.0	0.0	-1.0	4.0
20	5.0	4.0	-1.0	-3.0	-1.0	0.0	2.0	0.0
21	1.0	2.0	0.0	-1.0	1.0	0.0	-3.0	1.0
22	-4.0	-9.0	-6.0	-2.0	-3.0	0.0	0.0	-3.0
23	-4.0	-1.0	0.0	-1.0	1.0	2.0	3.0	0.0
24	-1.0	2.0	-2.0	2.0	1.0	2.0	-2.0	1.0
25	-16.0	-3.0	-1.0	-3.0	-5.0	-1.0	4.0	-5.0
26	6.0	1.0	-1.0	0.0	-2.0	0.0	1.0	3.0
27	-20.0	-2.0	2.0	1.0	-1.0	0.0	-7.0	6.0
28	19.0	0.0	-3.0	-4.0	-1.0	0.0	-1.0	4.0
29	-14.0	-6.0	-1.0	1.0	2.0	0.0	2.0	-1.0
30	-10.0	7.0	2.0	-1.0	0.0	0.0	1.0	-4.0
31	3.0	3.0	-2.0	-2.0	-2.0	-2.0	-1.0	1.0
32	-3.0	-12.0	-3.0	-1.0	-2.0	2.0	4.0	3.0
33	-4.0	3.0	2.0	0.0	-1.0	1.0	-5.0	1.0
34	-13.0	3.0	-2.0	-2.0	1.0	-1.0	2.0	1.0
35	13.0	9.0	-5.0	-1.0	-2.0	-3.0	-2.0	2.0
36	-6.0	-2.0	-2.0	-3.0	-1.0	-3.0	-4.0	-4.0
37	8.0	-5.0	-3.0	-3.0	0.0	-1.0	-1.0	-1.0
38	5.0	0.0	-1.0	1.0	-2.0	0.0	0.0	0.0
39	3.0	-4.0	2.0	1.0	0.0	1.0	0.0	-1.0
40	-3.0	3.0	1.0	1.0	0.0	-1.0	-3.0	-1.0
41	4.0	1.0	-4.0	-5.0	-3.0	-4.0	0.0	-2.0
42	-5.0	-7.0	1.0	0.0	-2.0	-3.0	-4.0	0.0
43	1.0	-3.0	-2.0	0.0	2.0	0.0	-4.0	-5.0
44	-7.0	0.0	1.0	-1.0	-1.0	-1.0	-2.0	-4.0
45	13.0	2.0	0.0	2.0	0.0	-1.0	0.0	3.0
46	4.0	-7.0	-6.0	-1.0	-1.0	-2.0	-7.0	-1.0
47	0.0	-3.0	-1.0	-1.0	-3.0	-2.0	0.0	-8.0
48	-18.0	-5.0	-3.0	1.0	1.0	0.0	-1.0	-4.0
49	28.0	8.0	3.0	1.0	-3.0	-1.0	-1.0	4.0
50	-6.0	0.0	-3.0	-4.0	-1.0	-1.0	8.0	-21.0
51	10.0	-5.0	-4.0	-4.0	-1.0	-1.0	3.0	-5.0
52	11.0	2.0	-3.0	-2.0	-3.0	-1.0	1.0	-2.0
53	-2.0	-3.0	-2.0	-2.0	-1.0	-1.0	0.0	-1.0
54	0.0	-4.0	1.0	-1.0	-1.0	-3.0	-5.0	-2.0
55	10.0	-3.0	-6.0	-2.0	-1.0	-3.0	0.0	2.0
56	-27.0	-4.0	3.0	-1.0	0.0	-2.0	-2.0	-10.0
57	0.0	-6.0	-5.0	-1.0	0.0	-1.0	-3.0	-8.0
58	4.0	8.0	1.0	0.0	-1.0	0.0	0.0	2.0
59	-24.0	-7.0	0.0	-2.0	-1.0	-2.0	-3.0	-1.0
60	14.0	6.0	-1.0	-1.0	-1.0	1.0	-2.0	5.0
61	-14.0	-1.0	-3.0	0.0	-1.0	0.0	-3.0	-3.0
62	7.0	-2.0	-1.0	-1.0	0.0	-3.0	-1.0	5.0
63	10.0	5.0	5.0	3.0	0.0	0.0	3.0	1.0
64	2.0	5.0	0.0	1.0	-1.0	-2.0	-7.0	1.0
65	-21.0	-4.0	3.0	-1.0	0.0	1.0	0.0	-1.0
66	11.0	12.0	1.0	0.0	2.0	1.0	-2.0	4.0
67	9.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0
68	-5.0	-6.0	0.0	0.0	-1.0	-2.0	0.0	0.0
69	-2.0	2.0	5.0	2.0	1.0	-2.0	-3.0	-4.0
70	19.0	-5.0	-4.0	-2.0	-2.0	0.0	-5.0	16.0
71	-50.0	-9.0	-5.0	-3.0	-3.0	-2.0	-3.0	-6.0
72	13.0	-3.0	-3.0	1.0	1.0	-1.0	0.0	3.0
73	4.0	7.0	-2.0	0.0	-3.0	-2.0	-3.0	4.0
74	-30.0	-4.0	2.0	-1.0	-2.0	1.0	2.0	-7.0
75	11.0	0.0	-2.0	-3.0	0.0	0.0	-1.0	0.0
76	17.0	3.0	0.0	0.0	-2.0	0.0	1.0	0.0
77	0.0	-2.0	-3.0	-2.0	0.0	-1.0	-1.0	-2.0
78	-17.0	-4.0	1.0	0.0	-1.0	-1.0	-1.0	-6.0
79	3.0	1.0	-2.0	-4.0	-2.0	0.0	0.0	1.0
80	-15.0	-4.0	-2.0	0.0	-2.0	-1.0	-3.0	-7.0
81	17.0	0.0	-3.0	-2.0	0.0	-2.0	-9.0	3.0
82	4.0	-2.0	-4.0	-2.0	-1.0	-2.0	2.0	-2.0
83	17.0	0.0	3.0	2.0	1.0	-1.0	2.0	-1.0
84	-15.0	0.0	-2.0	-2.0	0.0	0.0	-6.0	-2.0
85	3.0	-2.0	2.0	0.0	0.0	-1.0	0.0	0.0
86	4.0	-5.0	2.0	-1.0	2.0	-1.0	-2.0	-2.0
87	-17.0	-4.0	-4.0	-3.0	-3.0	-1.0	-1.0	3.0
88	20.0	13.0	2.0	-1.0	-1.0	-2.0	3.0	-5.0
89	-15.0	-5.0	-2.0	-1.0	-1.0	-2.0	-1.0	3.0
90	6.0	-9.0	-5.0	-1.0	-4.0	-2.0	-2.0	1.0
91	-6.0	-6.0	-1.0	2.0	0.0	0.0	-1.0	-3.0
92	-2.0	-6.0	0.0	0.0	-2.0	-1.0	3.0	5.0
93	3.0	2.0	-2.0	-1.0	-1.0	-1.0	3.0	2.0
94	-30.0	-3.0	0.0	-7.0	-1.0	-2.0	-2.0	-1.0
95	3.0	3.0	3.0	3.0	2.0	-1.0	-1.0	-1.0
96	8.0	-2.0	-3.0	-4.0	0.0	-2.0	-2.0	-1.0
97	-10.0	-14.0	-1.0	4.0	3.0	2.0	1.0	2.0
98	13.0	29.0	10.0	5.0	-2.0	-2.0	4.0	-5.0
99	9.0	-3.0	-4.0	-2.0	-2.0	0.0	4.0	-14.0
100	-19.0	-5.0	0.0	0.0	0.0	0.0	-5.0	-3.0
101	6.0	5.0	3.0	0.0	-1.0	1.0	3.0	0.0
102	-26.0	-5.0	-3.0	-1.0	0.0	0.0	-4.0	-5.0
103	-3.0	-11.0	-8.0	-6.0	-3.0	-4.0	-4.0	-6.0
104	-6.0	-11.0	-6.0	-1.0	-2.0	-1.0	2.0	0.0
105	2.0	11.0	2.0	-4.0	0.0	0.0	0.0	-5.0
106	9.0	-3.0	-2.0	-1.0	-1.0	-1.0	0.0	3.0
107	31.0	14.0	3.0	4.0	1.0	-1.0	-4.0	7.0
108	-12.0	-5.0	-3.0	-4.0	-3.0	1.0	4.0	-1.0
109	-10.0	-8.0	-5.0	-2.0	-4.0	-4.0	-4.0	-2.0
110	12.0	-4.0	-3.0	0.0	0.0	0.0	-2.0	3.0
111	-10.0	-1.0	2.0	-2.0	-1.0	0.0	1.0	2.0
112	6.0	1.0	-1.0	-2.0	-1.0	-1.0	-2.0	-5.0
113	-13.0	2.0	3.0	1.0	-1.0	-1.0	-1.0	-2.0
114	34.0	3.0	-3.0	1.0	-2.0	1.0	2.0	3.0
115	-10.0	-1.0	-2.0	-2.0	-2.0	-1.0	-1.0	-1.0
116	-4.0	3.0	1.0	-1.0	0.0	-2.0	0.0	1.0
117	25.0	8.0	0.0	0.0	-2.0	-1.0	-1.0	-3.0
118	-11.0	-23.0	-9.0	-2.0	-2.0	-2.0	-5.0	-1.0
119	-25.0	6.0	3.0	-2.0	0.0	-1.0	-5.0	2.0
120	29.0	13.0	2.0	1.0	1.0	0.0	0.0	1.0
121	0.0	-10.0	-7.0	-2.0	-2.0	-1.0	-1.0	2.0
122	11.0	4.0	0.0	-3.0	-2.0	-1.0	0.0	-3.0
123	-23.0	6.0	-2.0	0.0	-2.0	-2.0	-2.0	-6.0
124	-6.0	5.0	-4.0	-4.0	-3.0	-4.0	-1.0	-6.0
125	-32.0	-23.0	-2.0	1.0	1.0	3.0	-7.0	7.0
126	1.0	2.0	0.0	-1.0	-1.0	-1.0	-3.0	-3.0
127	0.0	-6.0	-4.0	-1.0	0.0	-1.0	-1.0	6.0
128	3.0	-3.0	-2.0	0.0	-1.0	-3.0	-3.0	-5.0
129	-14.0	4.0	-4.0	0.0	-1.0	-2.0	-3.0	-8.0
130	14.0	-2.0	-1.0	0.0	-1.0	1.0	1.0	3.0
131	4.0	1.0	3.0	1.0	1.0	1.0	2.0	4.0
132	9.0	-6.0	-2.0	-2.0	-1.0	-2.0	-1.0	5.0
133	0.0	3.0	-2.0	-3.0	-3.0	0.0	1.0	-3.0
134	-3.0	7.0	3.0	-1.0	-1.0	0.0	1.0	-1.0
135	-13.0	-10.0	-3.0	-2.0	1.0	-1.0	1.0	-5.0
136	9.0	4.0	2.0	3.0	0.0	0.0	-1.0	4.0
137	11.0	-1.0	-3.0	0.0	-1.0	-2.0	-1.0	1.0
138	-33.0	-15.0	-7.0	-7.0	1.0	-2.0	-2.0	-11.0
139	52.0	9.0	-3.0	-1.0	-4.0	0.0	0.0	5.0
140	-48.0	12.0	3.0	-1.0	-1.0	1.0	-1.0	-3.0
141	6.0	-4.0	0.0	-2.0	-1.0	0.0	2.0	1.0
142	9.0	-5.0	-1.0	-1.0	-2.0	-3.0	-4.0	0.0
143	18.0	11.0	3.0	0.0	-2.0	0.0	-3.0	2.0
144	-20.0	-11.0	-5.0	-3.0	1.0	-3.0	-6.0	-10.0
