	0	1	2	3	4	5	6	7
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	-6.0	-18.0	-15.0	-14.0	-11.0	-10.0	-8.0	-7.0
2	-6.0	9.0	5.0	4.0	2.0	2.0	2.0	6.0
3	17.0	0.0	1.0	6.0	3.0	3.0	3.0	3.0
4	47.0	13.0	1.0	-1.0	-2.0	-1.0	-1.0	3.0
5	-71.0	-20.0	-9.0	-8.0	-6.0	-8.0	-10.0	-20.0
6	34.0	19.0	3.0	1.0	-1.0	1.0	2.0	9.0
7	-7.0	-21.0	8.0	7.0	6.0	5.0	7.0	4.0
8	-19.0	-9.0	-6.0	-3.0	-3.0	-3.0	-1.0	-4.0
9	27.0	3.0	-6.0	-8.0	-7.0	-5.0	-4.0	0.0
10	1.0	-2.0	2.0	1.0	-2.0	-1.0	-2.0	-4.0
11	-9.0	17.0	8.0	8.0	7.0	6.0	4.0	4.0
12	6.0	-6.0	-5.0	-2.0	0.0	-4.0	-6.0	-5.0
13	4.0	-5.0	-8.0	-7.0	-5.0	-3.0	-5.0	-9.0
14	-27.0	-10.0	-3.0	-1.0	0.0	0.0	-1.0	-6.0
15	19.0	10.0	5.0	4.0	2.0	3.0	4.0	8.0
16	17.0	-1.0	-2.0	-4.0	-5.0	-4.0	-3.0	-6.0
17	-27.0	-13.0	-11.0	-8.0	-6.0	-8.0	-6.0	-10.0
18	1.0	1.0	-1.0	1.0	1.0	-1.0	-2.0	-2.0
19	12.0	16.0	8.0	4.0	1.0	2.0	3.0	7.0
20	-20.0	-9.0	-6.0	-4.0	-3.0	-2.0	-1.0	-5.0
21	-15.0	-9.0	0.0	-2.0	-1.0	-3.0	-5.0	-6.0
22	24.0	22.0	-4.0	-2.0	0.0	2.0	3.0	8.0
23	16.0	-6.0	-4.0	-2.0	1.0	2.0	0.0	3.0
24	-6.0	-11.0	3.0	1.0	1.0	0.0	0.0	-2.0
25	-21.0	-2.0	-6.0	-11.0	-9.0	-9.0	-10.0	-11.0
26	-2.0	0.0	-3.0	2.0	3.0	4.0	5.0	5.0
27	-16.0	20.0	8.0	8.0	4.0	4.0	4.0	4.0
